#block size	threads per block	Total threads	IPC/EU	IPC total
1	1	1	0.024	0.571
1	2	2	0.048	1.143
1	4	4	0.095	2.286
1	8	8	0.190	4.571
1	16	16	0.216	5.189
1	32	32	0.232	5.565
1	64	64	0.232	5.565
1	128	128	0.232	5.565
1	256	256	0.232	5.565
2	256	512	0.232	5.565
3	256	768	0.232	5.565
4	256	1024	0.282	6.767
5	256	1280	0.324	7.773
6	256	1536	0.360	8.629
7	256	1792	0.376	9.035
8	256	2048	0.391	9.373
9	256	2304	0.403	9.667
10	256	2560	0.388	9.309
11	256	2816	0.377	9.045
12	256	3072	0.369	8.849
13	256	3328	0.376	9.035
14	256	3584	0.381	9.147
15	256	3840	0.388	9.313
16	256	4096	0.386	9.267
17	256	4352	0.385	9.230
18	256	4608	0.383	9.195
19	256	4864	0.384	9.209
20	256	5120	0.385	9.231
21	256	5376	0.379	9.097
22	256	5632	0.371	8.909
23	256	5888	0.371	8.912
24	256	6144	0.367	8.808
25	256	6400	0.361	8.655
26	256	6656	0.364	8.728
27	256	6912	0.367	8.800
28	256	7168	0.360	8.639
29	256	7424	0.365	8.772
30	256	7680	0.362	8.691
31	256	7936	0.367	8.808
32	256	8192	0.363	8.720
64	256	16384	0.316	7.580
128	256	32768	0.291	6.982
256	256	65536	0.276	6.620
512	256	131072	0.269	6.462
1024	256	262144	0.267	6.397
2048	256	524288	0.265	6.355
4096	256	1048576	0.263	6.321
8192	256	2097152	0.263	6.307
16384	256	4194304	0.263	6.305
