#block size	threads per block	Total threads	IPC/EU	IPC total
1	1	1	0.019	0.444
1	2	2	0.037	0.889
1	4	4	0.074	1.778
1	8	8	0.148	3.556
1	16	16	0.163	3.918
1	32	32	0.172	4.129
1	64	64	0.172	4.129
1	128	128	0.172	4.129
1	256	256	0.172	4.129
2	256	512	0.172	4.129
3	256	768	0.172	4.129
4	256	1024	0.214	5.137
5	256	1280	0.251	6.019
6	256	1536	0.283	6.796
7	256	1792	0.294	7.055
8	256	2048	0.296	7.095
9	256	2304	0.307	7.369
10	256	2560	0.308	7.385
11	256	2816	0.301	7.221
12	256	3072	0.306	7.338
13	256	3328	0.302	7.256
14	256	3584	0.301	7.226
15	256	3840	0.298	7.160
16	256	4096	0.301	7.220
17	256	4352	0.307	7.368
18	256	4608	0.307	7.361
19	256	4864	0.304	7.289
20	256	5120	0.300	7.211
21	256	5376	0.293	7.022
22	256	5632	0.293	7.026
23	256	5888	0.283	6.800
24	256	6144	0.293	7.038
25	256	6400	0.279	6.691
26	256	6656	0.290	6.965
27	256	6912	0.277	6.653
28	256	7168	0.283	6.781
29	256	7424	0.281	6.746
30	256	7680	0.288	6.924
31	256	7936	0.287	6.889
32	256	8192	0.277	6.658
64	256	16384	0.260	6.250
128	256	32768	0.236	5.658
256	256	65536	0.232	5.562
512	256	131072	0.228	5.463
1024	256	262144	0.225	5.395
2048	256	524288	0.224	5.374
4096	256	1048576	0.223	5.353
8192	256	2097152	0.223	5.355
16384	256	4194304	0.223	5.347
