#block size	threads per block	Total threads	IPC/EU	IPC total
1	1	1	0.015	0.362
1	2	2	0.030	0.724
1	4	4	0.060	1.448
1	8	8	0.121	2.895
1	16	16	0.121	2.895
1	32	32	0.121	2.895
1	64	64	0.121	2.895
1	128	128	0.121	2.895
1	256	256	0.161	3.860
2	256	512	0.241	5.790
3	256	768	0.241	5.779
4	256	1024	0.241	5.785
5	256	1280	0.242	5.814
6	256	1536	0.242	5.806
7	256	1792	0.239	5.735
8	256	2048	0.242	5.801
9	256	2304	0.241	5.776
10	256	2560	0.242	5.796
11	256	2816	0.244	5.845
12	256	3072	0.242	5.805
13	256	3328	0.242	5.801
14	256	3584	0.241	5.791
15	256	3840	0.242	5.797
16	256	4096	0.242	5.802
17	256	4352	0.242	5.800
18	256	4608	0.241	5.786
19	256	4864	0.242	5.798
20	256	5120	0.241	5.781
21	256	5376	0.241	5.785
22	256	5632	0.241	5.783
23	256	5888	0.241	5.786
24	256	6144	0.241	5.789
25	256	6400	0.241	5.782
26	256	6656	0.242	5.797
27	256	6912	0.241	5.784
28	256	7168	0.241	5.790
29	256	7424	0.242	5.797
30	256	7680	0.241	5.789
31	256	7936	0.241	5.796
32	256	8192	0.241	5.796
64	256	16384	0.220	5.287
128	256	32768	0.241	5.791
256	256	65536	0.241	5.789
512	256	131072	0.241	5.789
1024	256	262144	0.240	5.755
2048	256	524288	0.240	5.771
4096	256	1048576	0.241	5.781
8192	256	2097152	0.241	5.784
16384	256	4194304	0.241	5.783
