#block size	threads per block	Total threads	IPC/EU	IPC total
1	1	1	0.013	0.308
1	2	2	0.026	0.615
1	4	4	0.051	1.231
1	8	8	0.103	2.462
1	16	16	0.110	2.630
1	32	32	0.113	2.723
1	64	64	0.113	2.723
1	128	128	0.113	2.723
1	256	256	0.113	2.723
2	256	512	0.113	2.723
3	256	768	0.113	2.723
4	256	1024	0.144	3.467
5	256	1280	0.173	4.147
6	256	1536	0.199	4.770
7	256	1792	0.202	4.844
8	256	2048	0.204	4.892
9	256	2304	0.208	4.985
10	256	2560	0.201	4.821
11	256	2816	0.200	4.805
12	256	3072	0.201	4.818
13	256	3328	0.202	4.851
14	256	3584	0.202	4.852
15	256	3840	0.206	4.937
16	256	4096	0.204	4.907
17	256	4352	0.204	4.894
18	256	4608	0.207	4.958
19	256	4864	0.208	4.990
20	256	5120	0.208	4.990
21	256	5376	0.200	4.811
22	256	5632	0.193	4.641
23	256	5888	0.192	4.610
24	256	6144	0.190	4.555
25	256	6400	0.187	4.497
26	256	6656	0.185	4.451
27	256	6912	0.186	4.460
28	256	7168	0.184	4.408
29	256	7424	0.182	4.380
30	256	7680	0.181	4.337
31	256	7936	0.179	4.303
32	256	8192	0.178	4.273
64	256	16384	0.159	3.809
128	256	32768	0.151	3.631
256	256	65536	0.147	3.535
512	256	131072	0.145	3.490
1024	256	262144	0.144	3.465
2048	256	524288	0.144	3.453
4096	256	1048576	0.144	3.449
8192	256	2097152	0.144	3.445
16384	256	4194304	0.143	3.444
