#block size	threads per block	Total threads	IPC/EU	IPC total
1	1	1	128.000	3072.000
1	2	2	256.000	6144.000
1	4	4	512.000	12288.000
1	8	8	1024.000	24576.000
1	16	16	1213.630	29127.111
1	32	32	1236.528	29676.679
1	64	64	1236.528	29676.679
1	128	128	1236.528	29676.679
1	256	256	1236.528	29676.679
2	256	512	1236.528	29676.679
3	256	768	1236.528	29676.679
4	256	1024	0.777	18.642
5	256	1280	0.501	12.033
6	256	1536	0.380	9.118
7	256	1792	0.348	8.346
8	256	2048	0.328	7.866
9	256	2304	0.319	7.644
10	256	2560	0.332	7.964
11	256	2816	0.344	8.262
12	256	3072	0.354	8.506
13	256	3328	0.341	8.194
14	256	3584	0.330	7.926
15	256	3840	0.321	7.709
16	256	4096	0.317	7.607
17	256	4352	0.315	7.565
18	256	4608	0.314	7.548
19	256	4864	0.310	7.449
20	256	5120	0.307	7.368
21	256	5376	0.310	7.449
22	256	5632	0.308	7.403
23	256	5888	0.306	7.339
24	256	6144	0.304	7.289
25	256	6400	0.300	7.197
26	256	6656	0.300	7.193
27	256	6912	0.300	7.200
28	256	7168	0.300	7.192
29	256	7424	0.299	7.165
30	256	7680	0.298	7.143
31	256	7936	0.298	7.141
32	256	8192	0.298	7.149
64	256	16384	0.309	7.408
128	256	32768	0.309	7.424
256	256	65536	0.310	7.439
512	256	131072	0.310	7.441
1024	256	262144	0.310	7.446
