#block size	threads per block	Total threads	IPC/EU	IPC total
1	1	1	0.016	0.387
1	2	2	0.032	0.774
1	4	4	0.065	1.548
1	8	8	0.129	3.097
1	16	16	0.140	3.368
1	32	32	0.147	3.523
1	64	64	0.147	3.523
1	128	128	0.147	3.523
1	256	256	0.147	3.523
2	256	512	0.147	3.523
3	256	768	0.147	3.523
4	256	1024	0.184	4.416
5	256	1280	0.214	5.138
6	256	1536	0.230	5.511
7	256	1792	0.238	5.707
8	256	2048	0.236	5.663
9	256	2304	0.222	5.326
10	256	2560	0.233	5.593
11	256	2816	0.230	5.531
12	256	3072	0.222	5.324
13	256	3328	0.224	5.379
14	256	3584	0.224	5.368
15	256	3840	0.215	5.165
16	256	4096	0.220	5.291
17	256	4352	0.219	5.255
18	256	4608	0.215	5.161
19	256	4864	0.221	5.302
20	256	5120	0.217	5.201
21	256	5376	0.213	5.103
22	256	5632	0.208	4.999
23	256	5888	0.207	4.963
24	256	6144	0.205	4.928
25	256	6400	0.204	4.897
26	256	6656	0.203	4.878
27	256	6912	0.203	4.874
28	256	7168	0.202	4.846
29	256	7424	0.200	4.793
30	256	7680	0.198	4.760
31	256	7936	0.197	4.723
32	256	8192	0.195	4.675
64	256	16384	0.172	4.124
128	256	32768	0.162	3.896
256	256	65536	0.158	3.797
512	256	131072	0.156	3.744
1024	256	262144	0.155	3.725
2048	256	524288	0.155	3.713
4096	256	1048576	0.154	3.706
8192	256	2097152	0.154	3.704
16384	256	4194304	0.154	3.704
