#block size	threads per block	Total threads	IPC/EU	IPC total
1	1	1	0.026	0.632
1	2	2	0.053	1.263
1	4	4	0.105	2.526
1	8	8	0.211	5.053
1	16	16	0.242	5.818
1	32	32	0.262	6.295
1	64	64	0.262	6.295
1	128	128	0.262	6.295
1	256	256	0.262	6.295
2	256	512	0.262	6.295
3	256	768	0.262	6.295
4	256	1024	0.315	7.567
5	256	1280	0.359	8.610
6	256	1536	0.395	9.481
7	256	1792	0.412	9.880
8	256	2048	0.434	10.414
9	256	2304	0.449	10.766
10	256	2560	0.428	10.267
11	256	2816	0.412	9.895
12	256	3072	0.403	9.660
13	256	3328	0.414	9.924
14	256	3584	0.423	10.163
15	256	3840	0.430	10.323
16	256	4096	0.426	10.223
17	256	4352	0.423	10.147
18	256	4608	0.421	10.105
19	256	4864	0.424	10.185
20	256	5120	0.427	10.260
21	256	5376	0.418	10.021
22	256	5632	0.411	9.862
23	256	5888	0.405	9.726
24	256	6144	0.398	9.550
25	256	6400	0.394	9.449
26	256	6656	0.394	9.462
27	256	6912	0.390	9.370
28	256	7168	0.392	9.406
29	256	7424	0.387	9.296
30	256	7680	0.375	8.999
31	256	7936	0.379	9.088
32	256	8192	0.398	9.545
64	256	16384	0.318	7.642
128	256	32768	0.302	7.237
256	256	65536	0.296	7.099
512	256	131072	0.291	6.979
1024	256	262144	0.288	6.918
2048	256	524288	0.287	6.891
4096	256	1048576	0.286	6.868
8192	256	2097152	0.285	6.834
16384	256	4194304	0.284	6.817
