#block size	threads per block	Total threads	IPC/EU	IPC total
1	1	1	0.025	0.600
1	2	2	0.050	1.199
1	4	4	0.100	2.399
1	8	8	0.333	7.982
1	16	16	0.333	7.982
1	32	32	0.333	7.982
1	64	64	0.333	7.982
1	128	128	0.333	7.982
1	256	256	0.286	6.853
2	256	512	0.258	6.199
3	256	768	0.263	6.317
4	256	1024	0.245	5.874
5	256	1280	0.230	5.526
6	256	1536	0.232	5.565
7	256	1792	0.232	5.558
8	256	2048	0.231	5.537
9	256	2304	0.230	5.527
10	256	2560	0.228	5.480
11	256	2816	0.228	5.483
12	256	3072	0.229	5.493
13	256	3328	0.229	5.496
14	256	3584	0.229	5.488
15	256	3840	0.227	5.459
16	256	4096	0.229	5.485
17	256	4352	0.229	5.489
18	256	4608	0.228	5.468
19	256	4864	0.228	5.464
20	256	5120	0.227	5.454
21	256	5376	0.229	5.490
22	256	5632	0.228	5.468
23	256	5888	0.228	5.482
24	256	6144	0.228	5.464
25	256	6400	0.227	5.457
26	256	6656	0.228	5.461
27	256	6912	0.227	5.455
28	256	7168	0.228	5.476
29	256	7424	0.227	5.459
30	256	7680	0.228	5.461
31	256	7936	0.228	5.462
32	256	8192	0.228	5.467
64	256	16384	0.227	5.444
128	256	32768	0.227	5.447
256	256	65536	0.227	5.442
512	256	131072	0.227	5.439
1024	256	262144	0.227	5.440
2048	256	524288	0.227	5.442
4096	256	1048576	0.227	5.445
