#block size	threads per block	Total threads	IPC/EU	IPC total
1	1	1	0.062	1.491
1	2	2	0.124	2.981
1	4	4	0.248	5.962
1	8	8	0.497	11.924
1	16	16	0.502	12.046
1	32	32	0.504	12.107
1	64	64	0.504	12.107
1	128	128	0.504	12.107
1	256	256	0.504	12.107
2	256	512	0.504	12.107
3	256	768	0.504	12.107
4	256	1024	0.672	16.139
5	256	1280	0.840	20.170
6	256	1536	1.008	24.199
7	256	1792	1.006	24.137
8	256	2048	1.005	24.128
9	256	2304	1.007	24.167
10	256	2560	1.010	24.249
11	256	2816	1.012	24.296
12	256	3072	1.011	24.269
13	256	3328	1.012	24.290
14	256	3584	1.010	24.241
15	256	3840	1.007	24.178
16	256	4096	1.010	24.247
17	256	4352	1.010	24.252
18	256	4608	1.009	24.227
19	256	4864	1.009	24.216
20	256	5120	1.009	24.209
21	256	5376	1.003	24.068
22	256	5632	1.004	24.084
23	256	5888	1.003	24.075
24	256	6144	1.009	24.206
25	256	6400	1.009	24.204
26	256	6656	1.004	24.105
27	256	6912	1.003	24.074
28	256	7168	1.004	24.105
29	256	7424	1.004	24.098
30	256	7680	1.004	24.100
31	256	7936	1.005	24.131
32	256	8192	1.004	24.099
64	256	16384	1.008	24.190
128	256	32768	1.009	24.220
256	256	65536	1.008	24.182
512	256	131072	1.008	24.184
1024	256	262144	1.008	24.184
2048	256	524288	1.008	24.184
4096	256	1048576	1.008	24.183
8192	256	2097152	1.008	24.183
16384	256	4194304	1.006	24.146
