#block size	threads per block	Total threads	IPC/EU	IPC total
1	1	1	0.003	0.062
1	2	2	0.005	0.124
1	4	4	0.010	0.247
1	8	8	0.041	0.979
1	16	16	0.041	0.979
1	32	32	0.041	0.979
1	64	64	0.041	0.979
1	128	128	0.041	0.979
1	256	256	0.033	0.803
2	256	512	0.028	0.668
3	256	768	0.027	0.654
4	256	1024	0.026	0.632
5	256	1280	0.025	0.603
6	256	1536	0.025	0.610
7	256	1792	0.026	0.613
8	256	2048	0.026	0.614
9	256	2304	0.025	0.612
10	256	2560	0.025	0.603
11	256	2816	0.025	0.606
12	256	3072	0.025	0.606
13	256	3328	0.025	0.609
14	256	3584	0.025	0.607
15	256	3840	0.025	0.604
16	256	4096	0.025	0.607
17	256	4352	0.025	0.606
18	256	4608	0.025	0.607
19	256	4864	0.025	0.606
20	256	5120	0.025	0.604
21	256	5376	0.025	0.607
22	256	5632	0.025	0.607
23	256	5888	0.025	0.606
24	256	6144	0.025	0.606
25	256	6400	0.025	0.605
26	256	6656	0.025	0.606
27	256	6912	0.025	0.606
28	256	7168	0.025	0.606
29	256	7424	0.025	0.606
30	256	7680	0.025	0.605
31	256	7936	0.025	0.605
32	256	8192	0.025	0.607
64	256	16384	0.025	0.606
128	256	32768	0.025	0.607
256	256	65536	0.025	0.607
512	256	131072	0.025	0.608
1024	256	262144	0.025	0.608
2048	256	524288	0.025	0.608
4096	256	1048576	0.025	0.609
