#block size	threads per block	Total threads	IPC/EU	IPC total
1	1	1	0.031	0.751
1	2	2	0.063	1.503
1	4	4	0.125	3.005
1	8	8	0.250	6.010
1	16	16	0.251	6.026
1	32	32	0.251	6.034
1	64	64	0.251	6.034
1	128	128	0.251	6.034
1	256	256	0.251	6.034
2	256	512	0.251	6.034
3	256	768	0.251	6.034
4	256	1024	0.335	8.045
5	256	1280	0.419	10.055
6	256	1536	0.503	12.064
7	256	1792	0.502	12.048
8	256	2048	0.502	12.039
9	256	2304	0.501	12.033
10	256	2560	0.504	12.087
11	256	2816	0.506	12.137
12	256	3072	0.507	12.160
13	256	3328	0.506	12.135
14	256	3584	0.505	12.118
15	256	3840	0.504	12.093
16	256	4096	0.504	12.097
17	256	4352	0.504	12.107
18	256	4608	0.505	12.113
19	256	4864	0.504	12.100
20	256	5120	0.504	12.099
21	256	5376	0.504	12.097
22	256	5632	0.510	12.234
23	256	5888	0.499	11.966
24	256	6144	0.504	12.097
25	256	6400	0.504	12.095
26	256	6656	0.504	12.092
27	256	6912	0.507	12.170
28	256	7168	0.504	12.085
29	256	7424	0.505	12.123
30	256	7680	0.502	12.045
31	256	7936	0.504	12.104
32	256	8192	0.504	12.092
64	256	16384	0.503	12.070
128	256	32768	0.503	12.069
256	256	65536	0.504	12.102
512	256	131072	0.504	12.097
1024	256	262144	0.504	12.106
2048	256	524288	0.504	12.106
4096	256	1048576	0.504	12.105
