#block size	threads per block	Total threads	IPC/EU	IPC total
1	1	1	0.013	0.308
1	2	2	0.026	0.615
1	4	4	0.051	1.231
1	8	8	0.103	2.462
1	16	16	0.110	2.630
1	32	32	0.113	2.723
1	64	64	0.113	2.723
1	128	128	0.113	2.723
1	256	256	0.113	2.723
2	256	512	0.113	2.723
3	256	768	0.113	2.723
4	256	1024	0.144	3.467
5	256	1280	0.173	4.147
6	256	1536	0.199	4.770
7	256	1792	0.209	5.010
8	256	2048	0.206	4.951
9	256	2304	0.203	4.881
10	256	2560	0.218	5.241
11	256	2816	0.207	4.966
12	256	3072	0.199	4.788
13	256	3328	0.204	4.904
14	256	3584	0.205	4.911
15	256	3840	0.203	4.865
16	256	4096	0.210	5.051
17	256	4352	0.208	4.985
18	256	4608	0.199	4.780
19	256	4864	0.208	4.980
20	256	5120	0.209	5.016
21	256	5376	0.204	4.892
22	256	5632	0.196	4.699
23	256	5888	0.194	4.650
24	256	6144	0.188	4.515
25	256	6400	0.187	4.499
26	256	6656	0.185	4.451
27	256	6912	0.184	4.416
28	256	7168	0.182	4.361
29	256	7424	0.180	4.331
30	256	7680	0.179	4.290
31	256	7936	0.177	4.249
32	256	8192	0.175	4.207
64	256	16384	0.154	3.697
128	256	32768	0.146	3.511
256	256	65536	0.142	3.413
512	256	131072	0.140	3.361
1024	256	262144	0.139	3.333
2048	256	524288	0.139	3.324
4096	256	1048576	0.138	3.319
8192	256	2097152	0.138	3.315
16384	256	4194304	0.138	3.313
