OCL_TIME	TIMESTAMP	GPU_TICKS	CPU_TICKS	CTX_ID	SLICE_CLK[mhz]	UNSLICE_CLK[mhz]	GPU_CLK[mhz]	CPU_CLK[khz]	GPU_TIME[s]	CPU_TIME[s]	REASON	A0	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A20	A21	A22	A23	A24	A25	A26	A27	A28	A29	A30	A31	A32	A33	A34	A35	B0	B1	B2	B3	B4	B5	B6	B7	C0	C1	C2	C3	C4	C5	C6	C7	PSYS_ENERGY	PACKAGE_ENERGY	PP0_ENERGY	DRAM_ENERGY	RAPL_ENERGY_GPU	
234749	7774	678628	1579072	25	7983	3983	1050	2700004	0,000646	0,000585	timer,timer	280554	0	0	0	80	0	0	2651644	2651644	2651644	2651644	2651644	2651644	2651644	2651644	2651644	2651644	2651644	2651644	2651644	2651644	0	0	0	0	0	0	0	0	0	0	0	5120	2727232	0	0	0	678628	678628	339314	226209	226210	113105	452419	0	0	10604	0	0	678628	678628	678628	0	0	2136230	0	0
234165	7794	680371	1585068	25	7983	3983	1050	2700003	0,000648	0,000587	timer,timer	280233	0	0	0	80	0	0	2632886	2632886	2632886	2632886	2632886	2632886	2632886	2632886	2632886	2632886	2632886	2632886	2632886	2632886	0	0	0	0	0	0	0	0	0	0	0	5120	350336	0	0	0	680371	680371	340186	226791	226790	113395	453580	0	0	11233	0	0	680371	680371	680371	0	0	2319335	0	0
234083	7817	682362	1580710	25	7983	3983	1050	2700004	0,000650	0,000585	timer,timer	280386	0	0	0	80	0	0	2635526	2635526	2635526	2635526	2635526	2635526	2635526	2635526	2635526	2635526	2635526	2635526	2635526	2635526	0	0	0	0	0	0	0	0	0	0	0	5120	350256	0	0	0	682362	682362	341181	227454	227454	113727	454908	0	0	10662	0	0	0	315	682362	0	0	2075195	0	0
234499	7894	689097	1603099	25	7983	3983	1050	2696407	0,000656	0,000595	timer,timer	280311	0	0	0	80	0	0	2648834	2648834	2648834	2648834	2648834	2648834	2648834	2648834	2648834	2648834	2648834	2648834	2648834	2648834	0	0	0	0	0	0	0	0	0	0	0	5120	350296	0	0	0	689097	689097	344548	229699	229699	114849	459399	0	0	11640	689097	0	689097	363	689097	2990722	9887695	2258300	549316	0
233916	7800	680947	1577471	25	7983	3983	1050	2700002	0,000649	0,000584	timer,timer	280191	0	0	0	80	0	0	2633252	2633252	2633252	2633252	2633252	2633252	2633252	2633252	2633252	2633252	2633252	2633252	2633252	2633252	0	0	0	0	0	0	0	0	0	0	0	5120	350912	0	0	0	680947	680947	340473	226982	226983	113492	453965	0	0	10639	0	0	680947	379	680947	3051757	10742187	2075195	488281	0
233833	7840	684403	1588272	25	7983	3983	1050	2700003	0,000652	0,000588	timer,timer	279905	0	0	0	80	0	0	2634692	2634692	2634692	2634692	2634692	2634692	2634692	2634692	2634692	2634692	2634692	2634692	2634692	2634692	0	0	0	0	0	0	0	0	0	0	0	5120	592696	0	0	0	684403	684403	342202	228134	228135	114067	456269	0	5718	10693	0	0	0	376	684403	3173828	10375976	2258300	549316	0
233999	7783	679435	1584672	25	7983	3983	1050	2695549	0,000647	0,000588	timer,timer	280021	0	0	0	80	0	0	2623162	2623162	2623162	2623162	2623162	2623162	2623162	2623162	2623162	2623162	2623162	2623162	2623162	2623162	0	0	0	0	0	0	0	0	0	0	0	5120	0	0	0	0	679435	679435	339717	226479	226478	113239	452957	0	0	11214	0	235266	679435	381	679435	2990722	10131835	2075195	610351	0
233582	7770	678311	1577415	25	7983	3983	1050	2700004	0,000646	0,000584	timer,timer	279611	0	0	0	80	0	0	2642192	2642192	2642192	2642192	2642192	2642192	2642192	2642192	2642192	2642192	2642192	2642192	2642192	2642192	0	0	0	0	0	0	0	0	0	0	0	5120	599640	0	0	0	678311	678311	339156	226104	226103	113051	452207	0	678311	11231	0	236187	678311	372	678311	2990722	11291503	2319335	488281	0
234332	7785	679605	1579643	25	7983	3983	1050	2696911	0,000647	0,000586	timer,timer	280108	0	0	0	80	0	0	2643418	2643418	2643418	2643418	2643418	2643418	2643418	2643418	2643418	2643418	2643418	2643418	2643418	2643418	0	0	0	0	0	0	0	0	0	0	0	5120	349808	0	0	0	679605	679605	339803	226535	226535	113267	453070	0	5730	10619	0	0	679605	342	679605	0	0	2258300	0	0
234249	7819	682576	1589184	25	7983	3983	1050	2700002	0,000650	0,000589	timer,timer	279911	0	0	0	80	0	0	2624248	2624248	2624248	2624248	2624248	2624248	2624248	2624248	2624248	2624248	2624248	2624248	2624248	2624248	0	0	0	0	0	0	0	0	0	0	0	5120	350384	0	0	0	682576	682576	341288	227526	227525	113763	455050	0	0	11266	0	0	0	314	682576	0	0	2380371	0	0
