OCL_TIME	TIMESTAMP	GPU_TICKS	CPU_TICKS	CTX_ID	SLICE_CLK[mhz]	UNSLICE_CLK[mhz]	GPU_CLK[mhz]	CPU_CLK[khz]	GPU_TIME[s]	CPU_TIME[s]	REASON	A0	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A20	A21	A22	A23	A24	A25	A26	A27	A28	A29	A30	A31	A32	A33	A34	A35	B0	B1	B2	B3	B4	B5	B6	B7	C0	C1	C2	C3	C4	C5	C6	C7	PSYS_ENERGY	PACKAGE_ENERGY	PP0_ENERGY	DRAM_ENERGY	RAPL_ENERGY_GPU	
411748	9953	868904	2096910	27	7983	3983	1050	2700002	0,000828	0,000777	timer,timer	466011	0	0	0	1	0	0	263826	263826	263826	263826	263826	263826	263826	263826	263826	263826	263826	263826	263826	263826	0	0	0	0	0	0	0	0	0	0	0	32	644192	0	0	0	868904	868904	434452	289635	289634	144817	579269	0	0	14205	868904	0	868904	165	868904	2990722	10742187	2807617	488281	0
411582	10008	873714	2101895	27	7983	3983	1050	2700003	0,000832	0,000778	timer,timer	465923	0	0	0	1	0	0	263826	263826	263826	263826	263826	263826	263826	263826	263826	263826	263826	263826	263826	263826	0	0	0	0	0	0	0	0	0	0	0	32	644424	0	0	0	873714	873714	436857	291238	291238	145619	582476	0	0	14328	0	0	873714	873714	873714	0	0	2746582	0	0
411332	9934	867229	2097823	27	7983	3983	1050	2700004	0,000826	0,000777	timer,timer	465807	0	0	0	1	0	0	263826	263826	263826	263826	263826	263826	263826	263826	263826	263826	263826	263826	263826	263826	0	0	0	0	0	0	0	0	0	0	0	32	643288	0	0	0	867229	867229	433614	289077	289076	144538	578153	0	0	13550	867229	435181	0	156	867229	3051757	11291503	3051757	488281	0
411415	9941	867828	2092270	27	7983	3983	1050	2700003	0,000827	0,000775	timer,timer	465765	0	0	0	1	0	0	263826	263826	263826	263826	263826	263826	263826	263826	263826	263826	263826	263826	263826	263826	0	0	0	0	0	0	0	0	0	0	0	32	642184	0	0	0	867828	867828	433914	289276	289276	144638	578552	0	867828	13560	0	0	867828	171	867828	3051757	11535644	2746582	549316	0
411248	9912	865353	2083049	27	7983	3983	1050	2700004	0,000824	0,000771	timer,timer	465673	0	0	0	1	0	0	263826	263826	263826	263826	263826	263826	263826	263826	263826	263826	263826	263826	263826	263826	0	0	0	0	0	0	0	0	0	0	0	32	787064	0	0	0	865353	865353	432677	288451	288451	144225	576902	0	0	14204	0	435039	865353	865353	865353	2929687	10681152	3051757	427246	0
411499	9883	862807	2091027	27	7983	3983	1050	2700002	0,000822	0,000774	timer,timer	465509	0	0	0	1	0	0	263826	263826	263826	263826	263826	263826	263826	263826	263826	263826	263826	263826	263826	263826	0	0	0	0	0	0	0	0	0	0	0	32	641584	0	0	0	862807	862807	431403	287602	287603	143802	575205	0	0	14076	0	0	0	198	862807	3051757	10498046	3051757	488281	0
411582	9985	871611	2099092	27	7983	3983	1050	2697487	0,000830	0,000778	timer,timer	466407	0	0	0	1	0	0	263826	263826	263826	263826	263826	263826	263826	263826	263826	263826	263826	263826	263826	263826	0	0	0	0	0	0	0	0	0	0	0	32	1286776	0	0	0	871611	871611	435805	290537	290537	145268	581075	0	0	14267	0	0	0	184	871611	0	0	2746582	0	0
411165	9900	864198	2082352	27	7983	3983	1050	2700003	0,000823	0,000771	timer,timer	464918	0	0	0	1	0	0	263826	263826	263826	263826	263826	263826	263826	263826	263826	263826	263826	263826	263826	263826	0	0	0	0	0	0	0	0	0	0	0	32	1284152	0	0	0	864198	864198	432099	288066	288066	144033	576132	0	0	13503	0	0	0	176	864198	3173828	11169433	2807617	488281	0
411499	9931	867001	2083741	27	7983	3983	1050	2700003	0,000826	0,000772	timer,timer	465607	0	0	0	1	0	0	263826	263826	263826	263826	263826	263826	263826	263826	263826	263826	263826	263826	263826	263826	0	0	0	0	0	0	0	0	0	0	0	32	641688	0	0	0	867001	867001	433501	289001	289000	144500	578000	0	0	14218	0	0	867001	867001	867001	2990722	10437011	2868652	488281	0
411331	9907	864881	2083279	27	7983	3983	1050	2700003	0,000824	0,000772	timer,timer	466280	0	0	0	1	0	0	263826	263826	263826	263826	263826	263826	263826	263826	263826	263826	263826	263826	263826	263826	0	0	0	0	0	0	0	0	0	0	0	32	1289584	0	0	0	864881	864881	432440	288293	288294	144147	576588	0	0	13514	0	0	0	195	864881	3051757	10925292	2807617	488281	0
