OCL_TIME	TIMESTAMP	GPU_TICKS	CPU_TICKS	CTX_ID	SLICE_CLK[mhz]	UNSLICE_CLK[mhz]	GPU_CLK[mhz]	CPU_CLK[khz]	GPU_TIME[s]	CPU_TIME[s]	REASON	A0	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A20	A21	A22	A23	A24	A25	A26	A27	A28	A29	A30	A31	A32	A33	A34	A35	B0	B1	B2	B3	B4	B5	B6	B7	C0	C1	C2	C3	C4	C5	C6	C7	PSYS_ENERGY	PACKAGE_ENERGY	PP0_ENERGY	DRAM_ENERGY	RAPL_ENERGY_GPU	
766747	13994	1221654	3109670	26	7983	3983	1050	2696658	0,001163	0,001153	timer,timer	838729	0	0	0	1	0	0	131364	131364	131364	131364	131364	131364	131364	131364	131364	131364	131364	131364	131364	131364	0	0	0	0	0	0	0	0	0	0	0	262144	921528	0	0	0	1221654	1221654	610827	407218	407218	203609	814436	0	0	19088	610830	0	1221654	180	1221654	2807617	10314941	4394531	610351	0
767830	14184	1238233	3125678	26	7983	3983	1050	2700003	0,001179	0,001158	timer,timer	841757	0	0	0	1	0	0	131364	131364	131364	131364	131364	131364	131364	131364	131364	131364	131364	131364	131364	131364	0	0	0	0	0	0	0	0	0	0	0	262144	935840	0	0	0	1238233	1238233	619117	412744	412745	206372	825489	0	0	20235	0	0	0	191	1238233	2807617	11047363	4333496	610351	0
768581	13950	1217754	3100812	26	7983	3983	1050	2700002	0,001160	0,001148	timer,timer	839626	0	0	0	1	0	0	131364	131364	131364	131364	131364	131364	131364	131364	131364	131364	131364	131364	131364	131364	0	0	0	0	0	0	0	0	0	0	0	262144	2091088	0	0	0	1217754	1217754	608877	405918	405918	202959	811836	0	0	19674	0	0	1217754	1217754	1217754	2929687	10803222	4455566	427246	0
768164	13959	1218564	3105750	26	7983	3983	1050	2699268	0,001161	0,001151	timer,timer	839785	0	0	0	1	0	0	131364	131364	131364	131364	131364	131364	131364	131364	131364	131364	131364	131364	131364	131364	0	0	0	0	0	0	0	0	0	0	0	262144	922664	0	0	0	1218564	1218564	609282	406188	406188	203094	812376	0	0	19040	0	0	1218564	174	1218564	2868652	11474609	4577636	549316	0
766663	13909	1214242	3088103	26	7983	3983	1050	2700004	0,001156	0,001144	timer,timer	837928	0	0	0	1	0	0	131364	131364	131364	131364	131364	131364	131364	131364	131364	131364	131364	131364	131364	131364	0	0	0	0	0	0	0	0	0	0	0	262144	4067264	0	0	0	1214242	1214242	607121	404747	404748	202374	809495	0	0	18973	0	0	0	190	1214242	2807617	10314941	4455566	549316	0
766747	13832	1207543	3094552	26	7983	3983	1050	2700001	0,001150	0,001146	timer,timer	838079	0	0	0	1	0	0	131364	131364	131364	131364	131364	131364	131364	131364	131364	131364	131364	131364	131364	131364	0	0	0	0	0	0	0	0	0	0	0	262144	921720	0	0	0	1207543	1207543	603771	402514	402514	201257	805029	0	0	18868	0	0	0	178	1207543	2746582	10986328	4455566	549316	0
767914	13876	1211357	3097423	26	7983	3983	1050	2695206	0,001154	0,001149	timer,timer	839077	0	0	0	1	0	0	131364	131364	131364	131364	131364	131364	131364	131364	131364	131364	131364	131364	131364	131364	0	0	0	0	0	0	0	0	0	0	0	262144	964400	0	0	0	1211357	1211357	605678	403786	403786	201893	807572	0	0	19591	0	0	0	161	1211357	2868652	11047363	4333496	488281	0
767747	13752	1200432	3072063	26	7983	3983	1050	2698494	0,001143	0,001138	timer,timer	838888	0	0	0	1	0	0	131364	131364	131364	131364	131364	131364	131364	131364	131364	131364	131364	131364	131364	131364	0	0	0	0	0	0	0	0	0	0	0	262144	921648	0	0	0	1200432	1200432	600216	400144	400144	200072	800288	0	0	18757	0	806245	1200432	173	1200432	2868652	10742187	4272460	427246	0
766413	13880	1211700	3087127	26	7983	3983	1050	2695408	0,001154	0,001145	timer,timer	838158	0	0	0	1	0	0	131364	131364	131364	131364	131364	131364	131364	131364	131364	131364	131364	131364	131364	131364	0	0	0	0	0	0	0	0	0	0	0	262144	2193584	0	0	0	1211700	1211700	605850	403900	403900	201950	807800	0	0	18933	0	0	1211700	1211700	1211700	3112792	10864257	4272460	610351	0
786414	14226	1241919	3163402	26	7983	3983	1050	2696165	0,001183	0,001173	timer,timer	858818	0	0	0	1	0	0	131364	131364	131364	131364	131364	131364	131364	131364	131364	131364	131364	131364	131364	131364	0	0	0	0	0	0	0	0	0	0	0	262144	1917264	0	0	0	1241919	1241919	620960	413973	413973	206987	827945	0	0	19405	0	0	0	1241919	1241919	3051757	10681152	4455566	549316	0
