OCL_TIME	TIMESTAMP	GPU_TICKS	CPU_TICKS	CTX_ID	SLICE_CLK[mhz]	UNSLICE_CLK[mhz]	GPU_CLK[mhz]	CPU_CLK[khz]	GPU_TIME[s]	CPU_TIME[s]	REASON	A0	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A20	A21	A22	A23	A24	A25	A26	A27	A28	A29	A30	A31	A32	A33	A34	A35	B0	B1	B2	B3	B4	B5	B6	B7	C0	C1	C2	C3	C4	C5	C6	C7	PSYS_ENERGY	PACKAGE_ENERGY	PP0_ENERGY	DRAM_ENERGY	RAPL_ENERGY_GPU	
219832	7566	660525	1535129	44	7983	3983	1050	2700002	0,000629	0,000569	timer,timer	264452	0	0	0	4096	0	0	210984	210984	210984	210984	210984	210984	210984	210984	210984	210984	210984	210984	210984	210984	0	0	0	0	0	0	0	0	0	0	0	135168	2113528	0	0	0	660525	660525	330262	220175	220175	110088	440350	0	0	10321	0	0	660525	225	660525	0	0	2258300	0	0
220166	7416	647417	1521036	44	7983	3983	1050	2692085	0,000617	0,000565	timer,timer	265800	0	0	0	4096	0	0	209768	209768	209768	209768	209768	209768	209768	209768	209768	209768	209768	209768	209768	209768	0	0	0	0	0	0	0	0	0	0	0	135168	446904	0	0	0	647417	647417	323708	215806	215805	107903	431611	0	326958	10116	0	0	647417	223	647417	2990722	10070800	2319335	610351	0
219916	7389	645056	1514746	44	7983	3983	1050	2696056	0,000614	0,000562	timer,timer	265000	0	0	0	4096	0	0	209774	209774	209774	209774	209774	209774	209774	209774	209774	209774	209774	209774	209774	209774	0	0	0	0	0	0	0	0	0	0	0	135168	446560	0	0	0	645056	645056	322528	215019	215018	107509	430037	0	0	10079	0	0	645056	0	645056	0	0	2014160	0	0
220166	7382	644360	1515894	44	7983	3983	1050	2699178	0,000614	0,000562	timer,timer	265076	0	0	0	4096	0	0	209724	209724	209724	209724	209724	209724	209724	209724	209724	209724	209724	209724	209724	209724	0	0	0	0	0	0	0	0	0	0	0	135168	445376	0	0	0	644360	644360	322180	214786	214787	107394	429573	0	0	10068	322249	0	644360	644360	644360	0	0	2014160	0	0
219583	7425	648225	1519980	44	7983	3983	1050	2700004	0,000617	0,000563	timer,timer	265039	0	0	0	4096	0	0	210476	210476	210476	210476	210476	210476	210476	210476	210476	210476	210476	210476	210476	210476	0	0	0	0	0	0	0	0	0	0	0	135168	448600	0	0	0	648225	648225	324113	216075	216075	108037	432150	0	0	10128	0	0	0	3957	648225	0	0	2258300	0	0
219583	7391	645236	1514736	44	7983	3983	1050	2692841	0,000615	0,000563	timer,timer	264979	0	0	0	4096	0	0	210314	210314	210314	210314	210314	210314	210314	210314	210314	210314	210314	210314	210314	210314	0	0	0	0	0	0	0	0	0	0	0	135168	444976	0	0	0	645236	645236	322618	215079	215078	107539	430157	0	0	10082	322584	0	0	5129	645236	0	0	2258300	0	0
219583	7464	651517	1523100	44	7983	3983	1050	2688121	0,000620	0,000567	timer,timer	265178	0	0	0	4096	0	0	209674	209674	209674	209674	209674	209674	209674	209674	209674	209674	209674	209674	209674	209674	0	0	0	0	0	0	0	0	0	0	0	135168	449440	0	0	0	651517	651517	325758	217172	217173	108587	434345	0	0	10180	0	196159	0	3933	651517	0	0	2075195	0	0
219166	6981	609389	1438254	44	7983	3983	1050	2700003	0,000580	0,000533	timer,timer	264417	0	0	0	4096	0	0	210620	210620	210620	210620	210620	210620	210620	210620	210620	210620	210620	210620	210620	210620	0	0	0	0	0	0	0	0	0	0	0	135168	437552	0	0	0	609389	609389	304695	203130	203129	101564	406259	0	0	9522	0	0	0	609389	609389	0	0	2380371	0	0
219333	7398	645780	1523313	44	7983	3983	1050	2698215	0,000615	0,000565	timer,timer	264881	0	0	0	4096	0	0	210070	210070	210070	210070	210070	210070	210070	210070	210070	210070	210070	210070	210070	210070	0	0	0	0	0	0	0	0	0	0	0	135168	442312	0	0	0	645780	645780	322890	215260	215260	107630	430520	0	0	10091	0	0	0	223	645780	0	0	2258300	0	0
219416	7395	645590	1513273	44	7983	3983	1050	2700005	0,000615	0,000560	timer,timer	264935	0	0	0	4096	0	0	210670	210670	210670	210670	210670	210670	210670	210670	210670	210670	210670	210670	210670	210670	0	0	0	0	0	0	0	0	0	0	0	135168	447728	0	0	0	645590	645590	322795	215197	215196	107598	430393	0	0	10088	0	0	645590	238	645590	0	0	2380371	0	0
