OCL_TIME	TIMESTAMP	GPU_TICKS	CPU_TICKS	CTX_ID	SLICE_CLK[mhz]	UNSLICE_CLK[mhz]	GPU_CLK[mhz]	CPU_CLK[khz]	GPU_TIME[s]	CPU_TIME[s]	REASON	A0	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A20	A21	A22	A23	A24	A25	A26	A27	A28	A29	A30	A31	A32	A33	A34	A35	B0	B1	B2	B3	B4	B5	B6	B7	C0	C1	C2	C3	C4	C5	C6	C7	PSYS_ENERGY	PACKAGE_ENERGY	PP0_ENERGY	DRAM_ENERGY	RAPL_ENERGY_GPU	
1844487157	22272616	1891930672	1066069634	44	7983	3983	1050	2295365	1,801839	2,335592	timer,timer	1891503872	551	0	0	160	0	1045155	7854330864	7854332355	7859569860	7859569860	7859569860	7859569860	7859569860	7859569860	7859569860	7859569860	7859569860	7859569860	7859569860	7859569860	4194741	0	0	0	0	4012626	97624	4624769	989556	0	0	1073744384	1891929904	0	0	0	1891930672	1891930672	945965336	630643558	630643557	315321779	1261287114	0	0	29568376	945959439	1880298788	0	2890	1891930672	6688049316	27598571777	2180175781	445007324	0
1822590419	21874052	1878476602	998423614	26	7983	3983	1050	2400398	1,789025	2,205214	timer,timer	1878247513	0	0	0	160	0	0	7842855628	7842855628	7842855628	7842855628	7842855628	7842855628	7842855628	7842855628	7842855628	7842855628	7842855628	7842855628	7842855628	7842855628	0	0	0	0	0	0	0	0	0	0	0	1073744384	1878422520	0	0	0	1878476602	1878476602	939238301	626158868	626158867	313079434	1252317734	0	0	29351203	0	0	1878476602	153	1878476602	6532287597	27289245605	1582702636	410766601	0
