OCL_TIME	TIMESTAMP	GPU_TICKS	CPU_TICKS	CTX_ID	SLICE_CLK[mhz]	UNSLICE_CLK[mhz]	GPU_CLK[mhz]	CPU_CLK[khz]	GPU_TIME[s]	CPU_TIME[s]	REASON	A0	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A20	A21	A22	A23	A24	A25	A26	A27	A28	A29	A30	A31	A32	A33	A34	A35	B0	B1	B2	B3	B4	B5	B6	B7	C0	C1	C2	C3	C4	C5	C6	C7	PSYS_ENERGY	PACKAGE_ENERGY	PP0_ENERGY	DRAM_ENERGY	RAPL_ENERGY_GPU	
10974373	138161	11981014	33093099	27	7983	3983	1050	2696670	0,011410	0,012272	timer,timer	11463501	0	0	0	4096	0	0	269222184	269222184	269222184	269222184	269222184	269222184	269222184	269222184	269222184	269222184	269222184	269222184	269222184	269222184	0	0	0	0	0	0	0	0	0	0	0	32768	11699824	0	0	0	11981014	11981014	5990507	3993671	3993672	1996836	7987343	0	0	187911	0	1431615	11981014	270	11981014	38940429	147460937	17028808	3112792	0
11024956	138852	12045348	33252804	27	7983	3983	1050	2697959	0,011472	0,012325	timer,timer	11521334	0	0	0	4096	0	0	269338522	269338522	269338522	269338522	269338522	269338522	269338522	269338522	269338522	269338522	269338522	269338522	269338522	269338522	0	0	0	0	0	0	0	0	0	0	0	32768	11754512	0	0	0	12045348	12045348	6022674	4015116	4015116	2007558	8030232	0	0	188210	0	0	12045348	258	12045348	37780761	146606445	17578125	2990722	0
11037206	139119	12059397	33332378	27	7983	3983	1050	2696441	0,011485	0,012362	timer,timer	11524953	0	0	0	4096	0	0	269336540	269336540	269336540	269336540	269336540	269336540	269336540	269336540	269336540	269336540	269336540	269336540	269336540	269336540	0	0	0	0	0	0	0	0	0	0	0	32768	11765504	0	0	0	12059397	12059397	6029699	4019799	4019799	2009899	8039598	0	0	188430	0	0	12059397	234	12059397	41381835	158447265	16113281	3356933	0
10970540	138015	11973550	33047200	27	7983	3983	1050	2698479	0,011403	0,012247	timer,timer	11461206	0	0	0	4096	0	0	269393314	269393314	269393314	269393314	269393314	269393314	269393314	269393314	269393314	269393314	269393314	269393314	269393314	269393314	0	0	0	0	0	0	0	0	0	0	0	32768	11691344	0	0	0	11973550	11973550	5986775	3991183	3991183	1995591	7982367	0	0	187089	0	0	0	251	11973550	38085937	147766113	17761230	3051757	0
11033039	138858	12041962	33262342	27	7983	3983	1050	2696532	0,011469	0,012335	timer,timer	11525269	0	0	0	4096	0	0	269321322	269321322	269321322	269321322	269321322	269321322	269321322	269321322	269321322	269321322	269321322	269321322	269321322	269321322	0	0	0	0	0	0	0	0	0	0	0	32768	11758984	0	0	0	12041962	12041962	6020981	4013988	4013987	2006994	8027974	0	0	188829	0	0	12041962	183	12041962	37475585	148132324	16418457	2990722	0
10974706	138183	11983045	33092487	27	7983	3983	1050	2696827	0,011412	0,012271	timer,timer	11464301	0	0	0	4096	0	0	269427842	269427842	269427842	269427842	269427842	269427842	269427842	269427842	269427842	269427842	269427842	269427842	269427842	269427842	0	0	0	0	0	0	0	0	0	0	0	32768	11698240	0	0	0	11983045	11983045	5991523	3994349	3994348	1997174	7988696	0	0	187900	0	0	11983045	341	11983045	39001464	149353027	17700195	3112792	0
11000373	138519	11992744	33168832	27	7983	3983	1050	2696975	0,011422	0,012299	timer,timer	11471665	0	0	0	4096	0	0	269382642	269382642	269382642	269382642	269382642	269382642	269382642	269382642	269382642	269382642	269382642	269382642	269382642	269382642	0	0	0	0	0	0	0	0	0	0	0	32768	11705880	0	0	0	11992744	11992744	5996372	3997582	3997581	1998791	7995162	0	0	187386	0	0	11992744	481	11992744	37902832	149597167	18981933	3112792	0
11030540	138732	11993763	33229369	27	7983	3983	1050	2696900	0,011423	0,012321	timer,timer	11482049	0	0	0	4096	0	0	269353946	269353946	269353946	269353946	269353946	269353946	269353946	269353946	269353946	269353946	269353946	269353946	269353946	269353946	0	0	0	0	0	0	0	0	0	0	0	32768	11715384	0	0	0	11993763	11993763	5996882	3997921	3997921	1998960	7995842	0	0	188074	0	0	0	365	11993763	38208007	160217285	18005371	3540039	0
10971540	138018	11973764	33055643	27	7983	3983	1050	2691252	0,011404	0,012283	timer,timer	11465824	0	0	0	4096	0	0	269272084	269272084	269272084	269272084	269272084	269272084	269272084	269272084	269272084	269272084	269272084	269272084	269272084	269272084	0	0	0	0	0	0	0	0	0	0	0	32768	11706048	0	0	0	11973764	11973764	5986882	3991254	3991255	1995627	7982510	0	0	187092	5986233	0	0	185	11973764	40954589	159729003	16479492	3356933	0
10999457	138449	11988753	33166344	27	7983	3983	1050	2696819	0,011418	0,012298	timer,timer	11473261	0	0	0	4096	0	0	269261748	269261748	269261748	269261748	269261748	269261748	269261748	269261748	269261748	269261748	269261748	269261748	269261748	269261748	0	0	0	0	0	0	0	0	0	0	0	32768	13331488	0	0	0	11988753	11988753	5994377	3996251	3996251	1998125	7992502	0	0	187991	0	0	11988753	281	11988753	41137695	159606933	16662597	3356933	0
