kernel	block size	threads per block	OCL_TIME	TIMESTAMP	GPU_TICKS	REASON	A0	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A20	A21	A22	A23	A24	A25	A26	A27	A28	A29	A30	A31	A32	A33	A34	A35	B0	B1	B2	B3	B4	B5	B6	B7	C0	C1	C2	C3	C4	C5	C6	C7	PSYS_ENERGY	PACKAGE_ENERGY	PP0_ENERGY	DRAM_ENERGY	RAPL_ENERGY_GPU
vect16_dp_mad_iter_1024_kernel	1	1	405498	2244086562	665845	1760040	463180	0	0	0	1	0	0	279144	279144	279144	279144	279144	279144	279144	279144	279144	279144	279144	279144	279144	279144	0	0	0	0	0	0	0	0	0	0	0	8196	0	0	0	0	0	665845	0	665845	10404	332923	0	221949	429806	221948	665845	110974	516	443896	665845	3845214	11352539	4882812	427246	0	
vect16_dp_mad_iter_1024_kernel	1	2	407666	2245756480	715781	1769865	464921	0	0	0	1	0	0	279144	279144	279144	279144	279144	279144	279144	279144	279144	279144	279144	279144	279144	279144	0	0	0	0	0	0	0	0	0	0	0	16392	617416	0	0	0	0	715781	1863	715781	12050	357891	0	238594	0	238593	715781	119296	463	477187	715781	4821777	15930175	4760742	549316	0	
vect16_dp_mad_iter_1024_kernel	1	4	409748	2247484773	714360	1782177	467318	0	0	0	1	0	0	279144	279144	279144	279144	279144	279144	279144	279144	279144	279144	279144	279144	279144	279144	0	0	0	0	0	0	0	0	0	0	0	32784	615856	0	0	0	0	714360	0	714360	11162	357180	0	238120	0	238120	0	119060	494	476240	714360	0	0	4638671	0	0	
vect16_dp_mad_iter_1024_kernel	1	8	413832	2248975563	718339	1794303	471746	0	0	0	1	0	0	279144	279144	279144	279144	279144	279144	279144	279144	279144	279144	279144	279144	279144	279144	0	0	0	0	0	0	0	0	0	0	0	65568	619704	0	0	0	0	718339	0	718339	11224	359170	0	239446	718339	239446	0	119723	718339	478892	718339	0	0	5249023	0	0	
vect16_dp_mad_iter_1024_kernel	1	16	413832	2250415637	715053	1783995	471710	0	0	0	2	0	0	558288	558288	558288	558288	558288	558288	558288	558288	558288	558288	558288	558288	558288	558288	0	0	0	0	0	0	0	0	0	0	0	131136	619376	0	0	0	0	715053	0	715053	11835	357527	0	238351	0	238351	715053	119175	516	476702	715053	0	0	4760742	0	0	
vect16_dp_mad_iter_1024_kernel	1	32	414582	2251954506	719561	1779775	472502	0	0	0	4	0	0	1116576	1116576	1116576	1116576	1116576	1116576	1116576	1116576	1116576	1116576	1116576	1116576	1116576	1116576	0	0	0	0	0	0	0	0	0	0	0	262272	623256	0	0	0	0	719561	0	719561	11244	359781	0	239853	719561	239854	719561	119927	519	479707	719561	4577636	14526367	4882812	488281	0	
vect16_dp_mad_iter_1024_kernel	1	64	415666	2253682070	721800	1788218	473667	0	0	0	8	0	0	2233152	2233152	2233152	2233152	2233152	2233152	2233152	2233152	2233152	2233152	2233152	2233152	2233152	2233152	0	0	0	0	0	0	0	0	0	0	0	524544	1399520	0	0	0	0	721800	0	721800	11894	360900	0	240600	0	240600	721800	120300	542	481200	721800	4821777	16296386	4516601	549316	0	
vect16_dp_mad_iter_1024_kernel	1	128	424832	2255168384	746586	1845139	483002	0	0	0	16	0	0	4466304	4466304	4466304	4466304	4466304	4466304	4466304	4466304	4466304	4466304	4466304	4466304	4466304	4466304	0	0	0	0	0	0	0	0	0	0	0	1049088	645744	0	0	0	0	746586	0	746586	11665	373293	0	248862	0	248862	746586	124431	582	497724	746586	0	0	5310058	0	0	
vect16_dp_mad_iter_1024_kernel	1	256	753664	2256608383	1080822	2793535	827867	0	0	0	32	0	0	6699552	6699552	6699552	6699552	6699552	6699552	6699552	6699552	6699552	6699552	6699552	6699552	6699552	6699552	0	0	0	0	0	0	0	0	0	0	0	2098176	978168	0	0	0	0	1080822	0	1080822	16887	540411	0	360274	0	360274	1080822	180137	649	720548	1080822	4638671	14587402	7690429	488281	0	
vect16_dp_mad_iter_1024_kernel	2	256	1529161	2258058407	1924287	5124678	1639918	0	0	0	64	0	0	8854938	8854938	8854938	8854938	8854938	8854938	8854938	8854938	8854938	8854938	8854938	8854938	8854938	8854938	0	0	0	0	0	0	0	0	0	0	0	4196352	2000296	0	0	0	0	1924287	0	1924287	30654	962143	0	641429	1589260	641429	1924287	320715	787	1282858	1924287	9887695	34545898	13244628	854492	0	
