kernel	block size	threads per block	OCL_TIME	TIMESTAMP	GPU_TICKS	REASON	A0	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A20	A21	A22	A23	A24	A25	A26	A27	A28	A29	A30	A31	A32	A33	A34	A35	B0	B1	B2	B3	B4	B5	B6	B7	C0	C1	C2	C3	C4	C5	C6	C7	PSYS_ENERGY	PACKAGE_ENERGY	PP0_ENERGY	DRAM_ENERGY	RAPL_ENERGY_GPU
vect8_dp_add_priv_iter_8192_kernel	1	1	610414	12142	1059946	2633705	674205	0	0	0	1	0	0	525136	525136	525136	525136	525136	525136	525136	525136	525136	525136	525136	525136	525136	525136	0	0	0	0	0	0	0	0	0	0	0	8	1741632	0	0	0	0	1059946	0	1059946	16613	529973	0	353315	0	353315	0	176657	529163	706631	1059946	2990722	10223388	3540039	488281	0	
vect8_dp_add_priv_iter_8192_kernel	1	2	610372	12170	1062461	2637569	674262	0	0	0	1	0	0	525136	525136	525136	525136	525136	525136	525136	525136	525136	525136	525136	525136	525136	525136	0	0	0	0	0	0	0	0	0	0	0	16	1810368	0	0	0	0	1062461	0	1062461	16616	531230	0	354154	0	354153	0	177076	196	708307	1062461	2929687	10314941	3540039	457763	0	
vect8_dp_add_priv_iter_8192_kernel	1	4	610414	12140	1059765	2636809	674322	0	0	0	1	0	0	525136	525136	525136	525136	525136	525136	525136	525136	525136	525136	525136	525136	525136	525136	0	0	0	0	0	0	0	0	0	0	0	32	1611052	0	0	0	0	1059765	0	1059765	16620	529882	0	353255	0	353254	526401	176627	191	706509	1059765	3021239	10375976	3570556	488281	0	
vect8_dp_add_priv_iter_8192_kernel	1	8	610372	12185	1063744	2641798	674161	0	0	0	1	0	0	525136	525136	525136	525136	525136	525136	525136	525136	525136	525136	525136	525136	525136	525136	0	0	0	0	0	0	0	0	0	0	0	64	1488020	0	0	0	0	1063744	0	1063744	16624	531872	0	354581	0	354581	530453	177290	190	709162	1063744	2990722	10711669	3540039	549316	0	
vect8_dp_add_priv_iter_8192_kernel	1	16	1103163	18081	1578439	4069113	1190446	0	0	0	1	0	0	1049620	1049620	1049620	1049620	1049620	1049620	1049620	1049620	1049620	1049620	1049620	1049620	1049620	1049620	0	0	0	0	0	0	0	0	0	0	0	128	2520832	0	0	0	0	1578439	0	1578439	24675	789219	0	526146	0	526146	0	263073	185	1052293	1578439	3112792	10894775	5432128	671386	0	
vect8_dp_add_priv_iter_8192_kernel	1	32	1103120	18100	1580095	4069557	1190509	0	0	0	2	0	0	2099240	2099240	2099240	2099240	2099240	2099240	2099240	2099240	2099240	2099240	2099240	2099240	2099240	2099240	0	0	0	0	0	0	0	0	0	0	0	256	2645432	0	0	0	0	1580095	0	1580095	24689	790048	0	526698	0	526698	0	263349	180	1053397	1580095	2990722	10559081	5310058	549316	0	
vect8_dp_add_priv_iter_8192_kernel	1	64	1103246	18089	1579109	4074229	1190476	0	0	0	4	0	0	4198480	4198480	4198480	4198480	4198480	4198480	4198480	4198480	4198480	4198480	4198480	4198480	4198480	4198480	0	0	0	0	0	0	0	0	0	0	0	512	2674996	0	0	0	0	1579109	0	1579109	24711	789554	0	526370	0	526369	0	263185	213	1052739	1579109	5767821	20660399	5432128	762939	0	
vect8_dp_add_priv_iter_8192_kernel	1	128	1103787	18087	1578929	4074645	1191065	0	0	0	8	0	0	8396960	8396960	8396960	8396960	8396960	8396960	8396960	8396960	8396960	8396960	8396960	8396960	8396960	8396960	0	0	0	0	0	0	0	0	0	0	0	1024	2522152	0	0	0	0	1578929	0	1578929	24706	789464	0	526309	0	526310	1576638	263155	1575958	1052620	1578929	4394530	10894775	5432128	579833	0	
vect8_dp_add_priv_iter_8192_kernel	1	256	1104996	18119	1581751	4078774	1192499	0	0	0	16	0	0	16793920	16793920	16793920	16793920	16793920	16793920	16793920	16793920	16793920	16793920	16793920	16793920	16793920	16793920	0	0	0	0	0	0	0	0	0	0	0	2048	2784000	0	0	0	0	1581751	0	1581751	24736	790875	0	527250	0	527250	0	263625	1065	1054501	1581751	3082274	11627196	5371093	549316	0	
vect8_dp_add_priv_iter_8192_kernel	2	256	1107037	18122	1581999	4077564	1194486	0	0	0	32	0	0	25191056	25191056	25191056	25191056	25191056	25191056	25191056	25191056	25191056	25191056	25191056	25191056	25191056	25191056	0	0	0	0	0	0	0	0	0	0	0	4096	2654944	0	0	0	0	1581999	908	1581999	24731	790999	0	527333	0	527333	0	263666	252	1054666	1581999	4547119	16967773	5432128	671386	0	
vect8_dp_add_priv_iter_8192_kernel	3	256	1109579	18189	1587856	4096324	1197041	0	0	0	48	0	0	25191408	25191408	25191408	25191408	25191408	25191408	25191408	25191408	25191408	25191408	25191408	25191408	25191408	25191408	0	0	0	0	0	0	0	0	0	0	0	6144	2532284	0	0	0	0	1587856	0	1587856	24821	793928	0	529285	0	529286	0	264643	291	1058571	1587856	3082274	11260986	5493164	518798	0	
vect8_dp_add_priv_iter_8192_kernel	4	256	1610535	24661	2152836	5671541	1722091	0	0	0	64	0	0	33457894	33457894	33457894	33457894	33457894	33457894	33457894	33457894	33457894	33457894	33457894	33457894	33457894	33457894	0	0	0	0	0	0	0	0	0	0	0	8192	3584380	0	0	0	0	2152836	0	2152836	33637	1076418	0	717612	0	717612	1073291	358806	323	1435224	2152836	6469726	24261474	7446289	762939	0	
vect8_dp_add_priv_iter_8192_kernel	5	256	2112700	31329	2717640	7290136	2239149	0	0	0	80	0	0	41956354	41956354	41956354	41956354	41956354	41956354	41956354	41956354	41956354	41956354	41956354	41956354	41956354	41956354	0	0	0	0	0	0	0	0	0	0	0	10240	4655692	0	0	0	0	2717640	0	2717640	42465	1358820	0	905880	0	905880	2712586	452940	154	1811761	2717640	6652831	26184081	8239745	762939	0	
vect8_dp_add_priv_iter_8192_kernel	6	256	2117408	31414	2724988	7309255	2244054	0	0	0	96	0	0	50355761	50355761	50355761	50355761	50355761	50355761	50355761	50355761	50355761	50355761	50355761	50355761	50355761	50355761	0	0	0	0	0	0	0	0	0	0	0	12288	4781584	0	0	0	0	2724988	0	2724988	42595	1362494	0	908329	0	908329	2698491	454164	290	1816659	2724988	6713867	26031494	8239746	793457	0	
vect8_dp_add_priv_iter_8192_kernel	7	256	2612823	37402	3247751	8760707	2763066	0	0	0	112	0	0	58758289	58758289	58758289	58758289	58758289	58758289	58758289	58758289	58758289	58758289	58758289	58758289	58758289	58758289	0	0	0	0	0	0	0	0	0	0	0	14336	5717400	0	0	0	0	3247751	0	3247751	50795	1623876	0	1082584	0	1082583	1621408	541291	186	2165167	3247751	9918212	37536621	8636474	1037597	0	
vect8_dp_add_priv_iter_8192_kernel	8	256	3105238	43371	3768753	10190404	3279074	0	0	0	128	0	0	67167340	67167340	67167340	67167340	67167340	67167340	67167340	67167340	67167340	67167340	67167340	67167340	67167340	67167340	0	0	0	0	0	0	0	0	0	0	0	16384	6873552	0	0	0	0	3768753	0	3768753	59123	1884377	0	1256251	0	1256251	0	628125	1865318	2512502	3768753	11505126	43304443	8972167	1159667	0	
vect8_dp_add_priv_iter_8192_kernel	9	256	3110571	43325	3764759	10192378	3284252	0	0	0	144	0	0	75570683	75570683	75570683	75570683	75570683	75570683	75570683	75570683	75570683	75570683	75570683	75570683	75570683	75570683	0	0	0	0	0	0	0	0	0	0	0	18432	6742908	0	0	0	0	3764759	0	3764759	59071	1882380	0	1254919	0	1254919	0	627459	1153	2509839	3764759	10192870	38482665	9063720	1159667	0	
vect8_dp_add_priv_iter_8192_kernel	10	256	3637944	49886	4314985	11777219	3817828	0	0	0	160	0	0	83965667	83965667	83965667	83965667	83965667	83965667	83965667	83965667	83965667	83965667	83965667	83965667	83965667	83965667	0	0	0	0	0	0	0	0	0	0	0	20480	7805888	0	0	0	0	4314985	0	4314985	67472	2157492	0	1438328	0	1438328	2153047	719164	1207	2876657	4314985	12939453	48980712	9582519	1220703	0	
vect8_dp_add_priv_iter_8192_kernel	11	256	5144105	68155	5909811	16197069	5395868	0	0	0	176	0	0	94545646	94545646	94545646	94545646	94545646	94545646	94545646	94545646	94545646	94545646	94545646	94545646	94545646	94545646	0	0	0	0	0	0	0	0	0	0	0	22528	11017544	0	0	0	0	5909811	3651	5909811	92377	2954905	0	1969937	0	1969937	0	984968	265	3939874	5909811	17303466	65032958	10589599	1708984	0	
vect8_dp_add_priv_iter_8192_kernel	12	256	6145309	80167	6957530	19100048	6444474	0	0	0	192	0	0	100738715	100738715	100738715	100738715	100738715	100738715	100738715	100738715	100738715	100738715	100738715	100738715	100738715	100738715	0	0	0	0	0	0	0	0	0	0	0	24576	13064344	0	0	0	0	6957530	0	6957530	108778	3478765	0	2319177	0	2319176	3474137	1159588	231	4638353	6957530	18341064	69641112	11260985	1861572	0	
vect8_dp_add_priv_iter_8192_kernel	13	256	6650557	86094	7475771	20536310	6974091	0	0	0	208	0	0	109137122	109137122	109137122	109137122	109137122	109137122	109137122	109137122	109137122	109137122	109137122	109137122	109137122	109137122	0	0	0	0	0	0	0	0	0	0	0	26624	14141744	0	0	0	0	7475771	0	7475771	117094	3737885	0	2491923	0	2491923	3734911	1245961	3706650	4983847	7475771	20812988	78430175	11505126	1922607	0	
vect8_dp_add_priv_iter_8192_kernel	14	256	6718890	86876	7544063	20725270	7045045	0	0	0	224	0	0	118354527	118354527	118354527	118354527	118354527	118354527	118354527	118354527	118354527	118354527	118354527	118354527	118354527	118354527	0	0	0	0	0	0	0	0	0	0	0	28672	14730956	0	0	0	0	7544063	0	7544063	117877	3772032	0	2514688	0	2514687	0	1257343	185	5029375	7544063	21179199	79864501	11627196	1953125	0	
vect8_dp_add_priv_iter_8192_kernel	15	256	6728181	87211	7564263	20809232	7052373	0	0	0	240	0	0	126190823	126190823	126190823	126190823	126190823	126190823	126190823	126190823	126190823	126190823	126190823	126190823	126190823	126190823	0	0	0	0	0	0	0	0	0	0	0	30720	15736288	0	0	0	0	7564263	0	7564263	118364	3782131	0	2521421	0	2521421	0	1260710	3734061	5042842	7564263	21728515	81573486	11535644	2197265	0	
vect8_dp_add_priv_iter_8192_kernel	16	256	6729265	87272	7565498	20776253	7056222	0	0	0	256	0	0	134576351	134576351	134576351	134576351	134576351	134576351	134576351	134576351	134576351	134576351	134576351	134576351	134576351	134576351	0	0	0	0	0	0	0	0	0	0	0	32768	14846996	0	0	0	0	7565498	0	7565498	118298	3782749	0	2521833	0	2521833	0	1260916	195	5043666	7565498	22216796	82092284	11596679	1983642	0	
vect8_dp_add_priv_iter_8192_kernel	17	256	6730640	87071	7558087	20762330	7057663	0	0	0	272	0	0	142908777	142908777	142908777	142908777	142908777	142908777	142908777	142908777	142908777	142908777	142908777	142908777	142908777	142908777	0	0	0	0	0	0	0	0	0	0	0	34816	14288424	0	0	0	0	7558087	0	7558087	118192	3779043	0	2519362	0	2519362	3764185	1259681	214	5038724	7558087	21820068	83099365	11566161	1922607	0	
vect8_dp_add_priv_iter_8192_kernel	18	256	6739890	87070	7560541	20776333	7062881	0	0	0	288	0	0	151152666	151152666	151152666	151152666	151152666	151152666	151152666	151152666	151152666	151152666	151152666	151152666	151152666	151152666	0	0	0	0	0	0	0	0	0	0	0	36864	14297112	0	0	0	0	7560541	0	7560541	118228	3780270	0	2520181	0	2520180	3774202	1260090	189	5040361	7560541	22705077	84411620	11535644	2136230	0	
vect8_dp_add_priv_iter_8192_kernel	19	256	7145805	92488	8013505	22088096	7492835	0	0	0	304	0	0	159558891	159558891	159558891	159558891	159558891	159558891	159558891	159558891	159558891	159558891	159558891	159558891	159558891	159558891	0	0	0	0	0	0	0	0	0	0	0	38912	14544304	0	0	0	0	8013505	0	8013505	125212	4006752	0	2671168	0	2671168	3773991	1335584	3122	5342337	8013505	22369384	84655761	11840820	2105712	0	
vect8_dp_add_priv_iter_8192_kernel	20	256	7172513	92747	8031539	22139764	7506442	0	0	0	320	0	0	168034329	168034329	168034329	168034329	168034329	168034329	168034329	168034329	168034329	168034329	168034329	168034329	168034329	168034329	0	0	0	0	0	0	0	0	0	0	0	40960	15445920	0	0	0	0	8031539	0	8031539	125910	4015769	1999991	2677180	0	2677180	8009728	1338590	210	5354360	8031539	24871825	95611572	12084960	2197265	0	
vect8_dp_add_priv_iter_8192_kernel	21	256	8715257	110806	9599363	26520166	9103876	0	0	0	336	0	0	176296810	176296810	176296810	176296810	176296810	176296810	176296810	176296810	176296810	176296810	176296810	176296810	176296810	176296810	0	0	0	0	0	0	0	0	0	0	0	43008	13753688	0	0	0	0	9599363	4891	9599363	150329	4799681	0	3199788	0	3199787	9071265	1599894	4498335	6399575	9599363	28137206	105377196	13244628	2502441	0	
vect8_dp_add_priv_iter_8192_kernel	22	256	9200214	116621	10113671	27920317	9617031	0	0	0	352	0	0	184967510	184967510	184967510	184967510	184967510	184967510	184967510	184967510	184967510	184967510	184967510	184967510	184967510	184967510	0	0	0	0	0	0	0	0	0	0	0	45056	15376284	0	0	0	0	10113671	0	10113671	158500	5056835	0	3371223	0	3371223	0	1685611	4996794	6742447	10113671	29846191	112609863	13580322	2624511	0	
vect8_dp_add_priv_iter_8192_kernel	23	256	9736919	123063	10658788	29483341	10158047	0	0	0	368	0	0	193650210	193650210	193650210	193650210	193650210	193650210	193650210	193650210	193650210	193650210	193650210	193650210	193650210	193650210	0	0	0	0	0	0	0	0	0	0	0	47104	15510236	0	0	0	0	10658788	0	10658788	166879	5329394	0	3552929	0	3552929	0	1776464	181	7105859	10658788	30914306	115844726	13824462	2716064	0	
vect8_dp_add_priv_iter_8192_kernel	24	256	9885211	124905	10833257	29924327	10331964	0	0	0	384	0	0	201447556	201447556	201447556	201447556	201447556	201447556	201447556	201447556	201447556	201447556	201447556	201447556	201447556	201447556	0	0	0	0	0	0	0	0	0	0	0	49152	16606760	0	0	0	0	10833257	0	10833257	169269	5416628	0	3611085	0	3611086	10726097	1805543	4073	7222171	10833257	30517577	116149902	13702392	2624511	0	
vect8_dp_add_priv_iter_8192_kernel	25	256	9712003	122839	10652827	29427250	10151402	0	0	0	400	0	0	209906665	209906665	209906665	209906665	209906665	209906665	209906665	209906665	209906665	209906665	209906665	209906665	209906665	209906665	0	0	0	0	0	0	0	0	0	0	0	51200	16988720	0	0	0	0	10652827	0	10652827	166766	5326413	0	3550942	0	3550942	10641486	1775471	227	7101885	10652827	30670165	117523193	13763427	2777099	0	
vect8_dp_add_priv_iter_8192_kernel	26	256	10227376	129025	11169974	30922824	10669011	0	0	0	416	0	0	218324517	218324517	218324517	218324517	218324517	218324517	218324517	218324517	218324517	218324517	218324517	218324517	218324517	218324517	0	0	0	0	0	0	0	0	0	0	0	53248	17251144	0	0	0	0	11169974	0	11169974	174557	5584987	0	3723324	0	3723325	11159451	1861662	5530825	7446649	11169974	31921386	118469238	14190673	2716064	0	
vect8_dp_add_priv_iter_8192_kernel	27	256	10267210	129454	11230073	31029689	10732050	0	0	0	432	0	0	226685611	226685611	226685611	226685611	226685611	226685611	226685611	226685611	226685611	226685611	226685611	226685611	226685611	226685611	0	0	0	0	0	0	0	0	0	0	0	55296	16234576	0	0	0	0	11230073	0	11230073	175702	5615036	0	3743357	0	3743357	0	1871678	190	7486715	11230073	33569335	127960204	14038085	2899169	0	
vect8_dp_add_priv_iter_8192_kernel	28	256	10275209	129774	11259382	31108748	10740641	0	0	0	448	0	0	235230535	235230535	235230535	235230535	235230535	235230535	235230535	235230535	235230535	235230535	235230535	235230535	235230535	235230535	0	0	0	0	0	0	0	0	0	0	0	57344	16633448	0	0	0	0	11259382	0	11259382	175962	5629691	0	3753127	0	3753127	5625441	1876563	5586403	7506255	11259382	33660888	129394530	14160156	2899169	0	
