kernel	block size	threads per block	OCL_TIME	TIMESTAMP	GPU_TICKS	REASON	A0	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A20	A21	A22	A23	A24	A25	A26	A27	A28	A29	A30	A31	A32	A33	A34	A35	B0	B1	B2	B3	B4	B5	B6	B7	C0	C1	C2	C3	C4	C5	C6	C7	PSYS_ENERGY	PACKAGE_ENERGY	PP0_ENERGY	DRAM_ENERGY	RAPL_ENERGY_GPU
vect8_dp_mul_iter_1024_kernel	1	1	354749	2404494229	616926	1631385	409903	0	0	0	1	0	0	166168	166168	166168	166168	166168	166168	166168	166168	166168	166168	166168	166168	166168	166168	0	0	0	0	0	0	0	0	0	0	0	8196	530008	0	0	0	0	616926	0	616926	9639	308463	0	205642	373260	205642	616926	102821	507	411284	616926	0	0	4272460	0	0	
vect8_dp_mul_iter_1024_kernel	1	2	356749	2406026222	658843	1631897	411713	0	0	0	1	0	0	166168	166168	166168	166168	166168	166168	166168	166168	166168	166168	166168	166168	166168	166168	0	0	0	0	0	0	0	0	0	0	0	16392	559512	0	0	0	0	658843	0	658843	10295	329421	0	219614	378509	219615	0	109808	503	439229	658843	4760742	15136718	4394531	549316	0	
vect8_dp_mul_iter_1024_kernel	1	4	358665	2407749966	662021	1628174	413514	0	0	0	1	0	0	166168	166168	166168	166168	166168	166168	166168	166168	166168	166168	166168	166168	166168	166168	0	0	0	0	0	0	0	0	0	0	0	32784	563568	0	0	0	0	662021	662021	662021	10345	331010	0	220674	375068	220673	662021	110337	490	441347	662021	4699707	15930175	3723144	549316	0	
vect8_dp_mul_iter_1024_kernel	1	8	362332	2409141807	666881	1645231	418023	0	0	0	1	0	0	166168	166168	166168	166168	166168	166168	166168	166168	166168	166168	166168	166168	166168	166168	0	0	0	0	0	0	0	0	0	0	0	65568	567112	0	0	0	0	666881	0	666881	10420	333440	0	222294	383882	222294	0	111147	497	444588	666881	4760742	15625000	4150390	549316	0	
vect8_dp_mul_iter_1024_kernel	1	16	497664	2410533814	814230	2050045	559936	0	0	0	1	0	0	332132	332132	332132	332132	332132	332132	332132	332132	332132	332132	332132	332132	332132	332132	0	0	0	0	0	0	0	0	0	0	0	131136	1531640	0	0	0	0	814230	0	814230	12722	407115	0	271410	520719	271410	0	135705	536	542820	814230	4516601	14465332	5310058	549316	0	
vect8_dp_mul_iter_1024_kernel	1	32	498165	2412120847	813340	2046380	560189	0	0	0	2	0	0	664264	664264	664264	664264	664264	664264	664264	664264	664264	664264	664264	664264	664264	664264	0	0	0	0	0	0	0	0	0	0	0	262272	1532072	0	0	0	0	813340	0	813340	12709	406670	0	271114	0	271113	813340	135557	495	542226	813340	4455566	15075683	5371093	488281	0	
vect8_dp_mul_iter_1024_kernel	1	64	513415	2413420907	829091	2084592	576125	0	0	0	4	0	0	1328528	1328528	1328528	1328528	1328528	1328528	1328528	1328528	1328528	1328528	1328528	1328528	1328528	1328528	0	0	0	0	0	0	0	0	0	0	0	524544	726232	0	0	0	0	829091	0	829091	12954	414546	0	276364	539702	276364	0	138182	518	552727	829091	4760742	16662597	5676269	549316	0	
vect8_dp_mul_iter_1024_kernel	1	128	514998	2414858676	832757	2092383	578201	0	0	0	8	0	0	2657056	2657056	2657056	2657056	2657056	2657056	2657056	2657056	2657056	2657056	2657056	2657056	2657056	2657056	0	0	0	0	0	0	0	0	0	0	0	1049088	730168	0	0	0	0	832757	0	832757	13012	416379	0	277586	539683	277585	0	138792	107551	555171	832757	4394531	14404296	5676269	549316	0	
vect8_dp_mul_iter_1024_kernel	1	256	841997	2417019680	1177208	3040798	920413	0	0	0	16	0	0	5314112	5314112	5314112	5314112	5314112	5314112	5314112	5314112	5314112	5314112	5314112	5314112	5314112	5314112	0	0	0	0	0	0	0	0	0	0	0	2098176	1075928	0	0	0	0	1177208	0	1177208	18394	588604	0	392402	0	392403	1177208	196201	596	784806	1177208	4699707	16296386	8300781	610351	0	
vect8_dp_mul_iter_1024_kernel	2	256	1479744	2418372835	1847091	4896305	1588263	0	0	0	32	0	0	7971344	7971344	7971344	7971344	7971344	7971344	7971344	7971344	7971344	7971344	7971344	7971344	7971344	7971344	0	0	0	0	0	0	0	0	0	0	0	4196352	0	0	0	0	0	1847091	0	1847091	28861	923546	0	615697	1544340	615697	0	307848	627	1231394	1847091	9887695	36682128	12817382	793457	0	
