kernel	block size	threads per block	OCL_TIME	TIMESTAMP	GPU_TICKS	REASON	A0	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A20	A21	A22	A23	A24	A25	A26	A27	A28	A29	A30	A31	A32	A33	A34	A35	B0	B1	B2	B3	B4	B5	B6	B7	C0	C1	C2	C3	C4	C5	C6	C7	PSYS_ENERGY	PACKAGE_ENERGY	PP0_ENERGY	DRAM_ENERGY	RAPL_ENERGY_GPU
vect2_sp_sub_priv_iter_1024_kernel	1	1	68084	5627	491249	1057534	106002	0	0	0	1	0	0	4176	4176	4176	4176	4176	4176	4176	4176	4176	4176	4176	4176	4176	4176	0	0	0	0	0	0	0	0	0	0	0	2	435160	0	0	0	0	491249	0	491249	7687	245625	0	163749	0	163750	0	81875	180	327499	491249	0	0	1403808	0	0	
vect2_sp_sub_priv_iter_1024_kernel	1	2	68083	5621	490729	1051427	106186	0	0	0	1	0	0	4176	4176	4176	4176	4176	4176	4176	4176	4176	4176	4176	4176	4176	4176	0	0	0	0	0	0	0	0	0	0	0	2	176048	0	0	0	0	490729	0	490729	7821	245364	0	163576	0	163577	0	81789	191	327153	490729	0	0	1342773	0	0	
vect2_sp_sub_priv_iter_1024_kernel	1	4	68083	5618	490453	1055346	106255	0	0	0	1	0	0	4176	4176	4176	4176	4176	4176	4176	4176	4176	4176	4176	4176	4176	4176	0	0	0	0	0	0	0	0	0	0	0	2	176168	0	0	0	0	490453	0	490453	7813	245226	0	163485	0	163484	488355	81742	188	326969	490453	0	0	1403808	0	0	
vect2_sp_sub_priv_iter_1024_kernel	1	8	68167	5657	493841	1058756	106362	0	0	0	1	0	0	4176	4176	4176	4176	4176	4176	4176	4176	4176	4176	4176	4176	4176	4176	0	0	0	0	0	0	0	0	0	0	0	2	581576	0	0	0	0	493841	0	493841	7823	246921	0	164614	0	164614	0	82307	178	329227	493841	0	0	1525878	0	0	
vect2_sp_sub_priv_iter_1024_kernel	1	16	68333	5636	492018	1061455	106347	0	0	0	1	0	0	8300	8300	8300	8300	8300	8300	8300	8300	8300	8300	8300	8300	8300	8300	0	0	0	0	0	0	0	0	0	0	0	4	176512	0	0	0	0	492018	0	492018	7865	246009	0	164006	0	164006	491518	82003	181	328012	492018	0	0	1586914	0	0	
vect2_sp_sub_priv_iter_1024_kernel	1	32	71250	5672	495159	1066296	109318	0	0	0	1	0	0	16548	16548	16548	16548	16548	16548	16548	16548	16548	16548	16548	16548	16548	16548	0	0	0	0	0	0	0	0	0	0	0	8	179400	0	0	0	0	495159	0	495159	7775	247579	0	165053	0	165053	492764	82527	195	330106	495159	2929687	10070800	1403808	488281	0	
vect2_sp_sub_priv_iter_1024_kernel	1	64	71250	5708	498268	1074803	109231	0	0	0	2	0	0	33096	33096	33096	33096	33096	33096	33096	33096	33096	33096	33096	33096	33096	33096	0	0	0	0	0	0	0	0	0	0	0	16	179600	0	0	0	0	498268	0	498268	7826	249134	0	166089	0	166089	0	83045	183	332178	498268	0	0	1586914	0	0	
vect2_sp_sub_priv_iter_1024_kernel	1	128	71250	5720	499331	1077741	109304	0	0	0	4	0	0	66192	66192	66192	66192	66192	66192	66192	66192	66192	66192	66192	66192	66192	66192	0	0	0	0	0	0	0	0	0	0	0	32	179400	0	0	0	0	499331	0	499331	7888	249666	0	166443	0	166444	495981	83222	187	332887	499331	0	0	1525878	0	0	
vect2_sp_sub_priv_iter_1024_kernel	1	256	71333	5685	496334	1071013	109415	0	0	0	8	0	0	132384	132384	132384	132384	132384	132384	132384	132384	132384	132384	132384	132384	132384	132384	0	0	0	0	0	0	0	0	0	0	0	64	179448	0	0	0	0	496334	0	496334	7877	248167	0	165444	0	165445	494480	82723	193	330889	496334	0	0	1464843	0	0	
vect2_sp_sub_priv_iter_1024_kernel	2	256	71500	5711	498607	1074018	109497	0	0	0	16	0	0	264768	264768	264768	264768	264768	264768	264768	264768	264768	264768	264768	264768	264768	264768	0	0	0	0	0	0	0	0	0	0	0	128	179920	0	0	0	0	498607	0	498607	7793	249303	0	166203	0	166202	492193	83101	190	332405	498607	0	0	1525878	0	0	
vect2_sp_sub_priv_iter_1024_kernel	3	256	71833	5684	496183	1068736	110030	0	0	0	24	0	0	397152	397152	397152	397152	397152	397152	397152	397152	397152	397152	397152	397152	397152	397152	0	0	0	0	0	0	0	0	0	0	0	192	181408	0	0	0	0	496183	0	496183	7753	248092	0	165394	0	165394	0	82697	195	330788	496183	0	0	1403808	0	0	
vect2_sp_sub_priv_iter_1024_kernel	4	256	72083	5728	499996	1073685	110259	0	0	0	32	0	0	397520	397520	397520	397520	397520	397520	397520	397520	397520	397520	397520	397520	397520	397520	0	0	0	0	0	0	0	0	0	0	0	256	180808	0	0	0	0	499996	0	499996	7828	249998	0	166666	0	166665	0	83332	196	333331	499996	0	0	1525878	0	0	
vect2_sp_sub_priv_iter_1024_kernel	5	256	72500	5713	498749	1078269	110830	0	0	0	40	0	0	397888	397888	397888	397888	397888	397888	397888	397888	397888	397888	397888	397888	397888	397888	0	0	0	0	0	0	0	0	0	0	0	320	434704	0	0	0	0	498749	0	498749	7928	249375	0	166250	0	166249	491842	83124	208	332499	498749	0	0	1464843	0	0	
vect2_sp_sub_priv_iter_1024_kernel	6	256	72833	5729	500177	1077939	111079	0	0	0	48	0	0	398256	398256	398256	398256	398256	398256	398256	398256	398256	398256	398256	398256	398256	398256	0	0	0	0	0	0	0	0	0	0	0	384	304880	0	0	0	0	500177	0	500177	7894	250089	0	166726	0	166725	0	83362	220	333451	500177	0	0	1403808	0	0	
vect2_sp_sub_priv_iter_1024_kernel	7	256	78999	5803	506573	1095427	117532	0	0	0	56	0	0	464282	464282	464282	464282	464282	464282	464282	464282	464282	464282	464282	464282	464282	464282	0	0	0	0	0	0	0	0	0	0	0	448	187932	0	0	0	0	506573	0	506573	7919	253287	0	168858	0	168858	0	84429	226	337715	506573	0	0	1403808	0	0	
vect2_sp_sub_priv_iter_1024_kernel	8	256	79208	5798	506156	1096313	117889	0	0	0	64	0	0	530428	530428	530428	530428	530428	530428	530428	530428	530428	530428	530428	530428	530428	530428	0	0	0	0	0	0	0	0	0	0	0	512	189216	0	0	0	0	506156	0	506156	7933	253078	0	168719	0	168718	0	84359	222	337437	506156	2960204	10345458	1434325	518798	0	
vect2_sp_sub_priv_iter_1024_kernel	9	256	79458	5784	504977	1096908	118013	0	0	0	72	0	0	596640	596640	596640	596640	596640	596640	596640	596640	596640	596640	596640	596640	596640	596640	0	0	0	0	0	0	0	0	0	0	0	576	188496	0	0	0	0	504977	0	504977	8080	252488	0	168325	0	168326	0	84163	225	336651	504977	0	0	1647949	0	0	
vect2_sp_sub_priv_iter_1024_kernel	10	256	85624	5889	514112	1117457	124426	0	0	0	80	0	0	662884	662884	662884	662884	662884	662884	662884	662884	662884	662884	662884	662884	662884	662884	0	0	0	0	0	0	0	0	0	0	0	640	195624	0	0	0	0	514112	0	514112	8226	257056	0	171371	0	171370	509593	85685	232	342741	514112	0	0	1586914	0	0	
