kernel	block size	threads per block	OCL_TIME	TIMESTAMP	GPU_TICKS	REASON	A0	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A20	A21	A22	A23	A24	A25	A26	A27	A28	A29	A30	A31	A32	A33	A34	A35	B0	B1	B2	B3	B4	B5	B6	B7	C0	C1	C2	C3	C4	C5	C6	C7	PSYS_ENERGY	PACKAGE_ENERGY	PP0_ENERGY	DRAM_ENERGY	RAPL_ENERGY_GPU
vect16_sp_add_priv_iter_8192_kernel	1	1	434873	10207	891028	2159313	490338	0	0	0	1	0	0	263056	263056	263056	263056	263056	263056	263056	263056	263056	263056	263056	263056	263056	263056	0	0	0	0	0	0	0	0	0	0	0	8	1405996	0	0	0	0	891028	0	891028	13951	445514	0	297009	0	297010	888678	148505	888678	594019	891028	2990722	10467528	2990722	488281	0	
vect16_sp_add_priv_iter_8192_kernel	1	2	434915	10240	893937	2155587	490289	0	0	0	1	0	0	263056	263056	263056	263056	263056	263056	263056	263056	263056	263056	263056	263056	263056	263056	0	0	0	0	0	0	0	0	0	0	0	16	1340880	0	0	0	0	893937	0	893937	14342	446969	0	297979	0	297978	891723	148989	192	595958	893937	3021239	10772704	2990722	488281	0	
vect16_sp_add_priv_iter_8192_kernel	1	4	434915	10210	891313	2159021	490461	0	0	0	1	0	0	263056	263056	263056	263056	263056	263056	263056	263056	263056	263056	263056	263056	263056	263056	0	0	0	0	0	0	0	0	0	0	0	32	668448	0	0	0	0	891313	0	891313	13965	445656	0	297104	0	297104	444311	148552	112330	594208	891313	1525878	5187988	2990722	244140	0	
vect16_sp_add_priv_iter_8192_kernel	1	8	435123	10354	903895	2160046	490630	0	0	0	1	0	0	263056	263056	263056	263056	263056	263056	263056	263056	263056	263056	263056	263056	263056	263056	0	0	0	0	0	0	0	0	0	0	0	64	669016	0	0	0	0	903895	0	903895	14191	451947	0	301298	0	301298	0	150649	179	602596	903895	2990722	10894774	2990722	488281	0	
vect16_sp_add_priv_iter_8192_kernel	1	16	559081	11687	1020230	2517603	620530	0	0	0	1	0	0	525332	525332	525332	525332	525332	525332	525332	525332	525332	525332	525332	525332	525332	525332	0	0	0	0	0	0	0	0	0	0	0	128	798148	0	0	0	0	1020230	0	1020230	15984	510115	0	340076	0	340077	509366	170039	181	680153	1020230	3051757	10955810	3479003	488281	0	
vect16_sp_add_priv_iter_8192_kernel	1	32	559206	11736	1024536	2524199	620637	0	0	0	2	0	0	1050664	1050664	1050664	1050664	1050664	1050664	1050664	1050664	1050664	1050664	1050664	1050664	1050664	1050664	0	0	0	0	0	0	0	0	0	0	0	256	798732	0	0	0	0	1024536	0	1024536	16072	512268	0	341512	0	341512	1023711	170756	180	683024	1024536	3051757	10742187	3417968	488281	0	
vect16_sp_add_priv_iter_8192_kernel	1	64	558998	11733	1024273	2523101	620463	0	0	0	4	0	0	2101328	2101328	2101328	2101328	2101328	2101328	2101328	2101328	2101328	2101328	2101328	2101328	2101328	2101328	0	0	0	0	0	0	0	0	0	0	0	512	798896	0	0	0	0	1024273	0	1024273	16017	512136	0	341424	0	341424	1021913	170712	190	682849	1024273	3112792	10955810	3479003	488281	0	
vect16_sp_add_priv_iter_8192_kernel	1	128	559914	11834	1033051	2527345	621294	0	0	0	8	0	0	4202656	4202656	4202656	4202656	4202656	4202656	4202656	4202656	4202656	4202656	4202656	4202656	4202656	4202656	0	0	0	0	0	0	0	0	0	0	0	1024	799188	0	0	0	0	1033051	0	1033051	16166	516526	0	344350	0	344350	1030946	172175	205	688700	1033051	3051757	10894774	3448485	488281	0	
vect16_sp_add_priv_iter_8192_kernel	1	256	561164	11751	1025840	2529921	622770	0	0	0	16	0	0	8405312	8405312	8405312	8405312	8405312	8405312	8405312	8405312	8405312	8405312	8405312	8405312	8405312	8405312	0	0	0	0	0	0	0	0	0	0	0	2048	800040	0	0	0	0	1025840	0	1025840	16074	512920	0	341946	0	341947	1024121	170974	225	683893	1025840	3112792	10894775	3417968	488281	0	
vect16_sp_add_priv_iter_8192_kernel	2	256	563165	11843	1033860	2548045	624586	0	0	0	32	0	0	12608144	12608144	12608144	12608144	12608144	12608144	12608144	12608144	12608144	12608144	12608144	12608144	12608144	12608144	0	0	0	0	0	0	0	0	0	0	0	4096	869648	0	0	0	0	1033860	0	1033860	16796	516930	0	344619	0	344620	1032706	172310	243	689240	1033860	3082274	10467528	3448485	518798	0	
vect16_sp_add_priv_iter_8192_kernel	3	256	565664	11816	1031536	2551509	627419	0	0	0	48	0	0	12608496	12608496	12608496	12608496	12608496	12608496	12608496	12608496	12608496	12608496	12608496	12608496	12608496	12608496	0	0	0	0	0	0	0	0	0	0	0	6144	805328	0	0	0	0	1031536	0	1031536	16155	515768	0	343845	0	343845	1030091	171922	272	687691	1031536	3143310	11230468	3479003	549316	0	
vect16_sp_add_priv_iter_8192_kernel	4	256	820038	14983	1308003	3285939	893771	0	0	0	64	0	0	16805910	16805910	16805910	16805910	16805910	16805910	16805910	16805910	16805910	16805910	16805910	16805910	16805910	16805910	0	0	0	0	0	0	0	0	0	0	0	8192	1071904	0	0	0	0	1308003	0	1308003	20497	654001	0	436001	0	436001	1305263	218000	322	872002	1308003	3173828	11199950	4486083	518798	0	
vect16_sp_add_priv_iter_8192_kernel	5	256	1065829	17850	1558222	4003999	1151296	0	0	0	80	0	0	21008351	21008351	21008351	21008351	21008351	21008351	21008351	21008351	21008351	21008351	21008351	21008351	21008351	21008351	0	0	0	0	0	0	0	0	0	0	0	10240	1404608	0	0	0	0	1558222	0	1558222	24400	779111	0	519407	0	519407	1556509	259704	364	1038815	1558222	3143310	11230468	5462646	579833	0	
vect16_sp_add_priv_iter_8192_kernel	6	256	1069829	17879	1560790	4017090	1155421	0	0	0	96	0	0	25208555	25208555	25208555	25208555	25208555	25208555	25208555	25208555	25208555	25208555	25208555	25208555	25208555	25208555	0	0	0	0	0	0	0	0	0	0	0	12288	1333580	0	0	0	0	1560790	0	1560790	24730	780395	0	520264	0	520263	1557955	260131	386	1040526	1560790	3143310	11871337	5401610	549316	0	
vect16_sp_add_priv_iter_8192_kernel	7	256	1319245	20861	1821149	4737137	1416652	0	0	0	112	0	0	29408714	29408714	29408714	29408714	29408714	29408714	29408714	29408714	29408714	29408714	29408714	29408714	29408714	29408714	0	0	0	0	0	0	0	0	0	0	0	14336	2457512	0	0	0	0	1821149	0	1821149	28540	910575	0	607049	0	607049	1817826	303525	417	1214099	1821149	3326415	13092040	6408691	549316	0	
