#block size	threads per block	Total threads	FLOP/cy (using C instructions)
1.0	1.0	1.0	341.3333333333333	
1.0	2.0	2.0	682.6666666666666	
1.0	4.0	4.0	1365.3333333333333	
1.0	8.0	8.0	2730.6666666666665	
1.0	16.0	16.0	3449.2631578947367	
1.0	32.0	32.0	3971.878787878788	
1.0	64.0	64.0	3971.878787878788	
1.0	128.0	128.0	3971.878787878788	
1.0	256.0	256.0	3971.878787878788	
2.0	256.0	512.0	3971.878787878788	
3.0	256.0	768.0	3971.878787878788	
4.0	256.0	1024.0	1848.118087684512	
5.0	256.0	1280.0	1435.2258417738844	
6.0	256.0	1536.0	1450.4797694524495	
7.0	256.0	1792.0	1013.4666206420434	
8.0	256.0	2048.0	965.5951654676259	
9.0	256.0	2304.0	853.3101858131018	
10.0	256.0	2560.0	913.3937282229965	
11.0	256.0	2816.0	831.4233403013047	
12.0	256.0	3072.0	885.6527890198838	
13.0	256.0	3328.0	870.8268438368417	
14.0	256.0	3584.0	864.8558972546247	
15.0	256.0	3840.0	881.6255149799614	
16.0	256.0	4096.0	570.5177678783963	
17.0	256.0	4352.0	857.5039445834135	
18.0	256.0	4608.0	880.8889926026183	
19.0	256.0	4864.0	515.1308709648226	
20.0	256.0	5120.0	861.5364390764933	
21.0	256.0	5376.0	880.7862242755145	
22.0	256.0	5632.0	875.1061037138197	
23.0	256.0	5888.0	860.024890790764	
24.0	256.0	6144.0	587.6913232838644	
25.0	256.0	6400.0	320.83812694294176	
26.0	256.0	6656.0	242.72268443708464	
27.0	256.0	6912.0	265.2993426446955	
28.0	256.0	7168.0	327.32016700390756	
29.0	256.0	7424.0	382.1773348247389	
30.0	256.0	7680.0	569.733763176006	
31.0	256.0	7936.0	693.5840312376644	
32.0	256.0	8192.0	721.3292201859515	
64.0	256.0	16384.0	741.4320011048197	
128.0	256.0	32768.0	828.1645373966859	
256.0	256.0	65536.0	823.0240175375394	
512.0	256.0	131072.0	822.1933982057478	
1024.0	256.0	262144.0	820.3688528692118	
