#block size	threads per block	Total threads	Theoretical GFLOP/s
1.0	1.0	1.0	0.34439194891495556	
1.0	2.0	2.0	0.6866725077622627	
1.0	4.0	4.0	1.377652577811026	
1.0	8.0	8.0	2.7483327226165177	
1.0	16.0	16.0	5.515422332369077	
1.0	32.0	32.0	8.287732056334931	
1.0	64.0	64.0	16.57972965886771	
1.0	128.0	128.0	33.17527489342507	
1.0	256.0	256.0	66.36268097816463	
2.0	256.0	512.0	132.12905664672667	
3.0	256.0	768.0	198.8963489900658	
4.0	256.0	1024.0	265.32022346989913	
5.0	256.0	1280.0	329.8995682822262	
6.0	256.0	1536.0	398.6208414515373	
7.0	256.0	1792.0	310.57969531533166	
8.0	256.0	2048.0	353.86314823502977	
9.0	256.0	2304.0	398.93967069779586	
10.0	256.0	2560.0	332.7783572883017	
11.0	256.0	2816.0	365.41174181552293	
12.0	256.0	3072.0	398.37318697080656	
13.0	256.0	3328.0	345.5792904807954	
14.0	256.0	3584.0	372.8838125563481	
15.0	256.0	3840.0	399.26675312502596	
16.0	256.0	4096.0	354.37850996873	
17.0	256.0	4352.0	377.7816192856059	
18.0	256.0	4608.0	399.60597614124816	
19.0	256.0	4864.0	361.6863762415011	
20.0	256.0	5120.0	380.9877517537113	
21.0	256.0	5376.0	349.6507709267987	
22.0	256.0	5632.0	325.48992578962645	
23.0	256.0	5888.0	291.91496340812085	
24.0	256.0	6144.0	278.1282583983373	
25.0	256.0	6400.0	277.74751858089434	
26.0	256.0	6656.0	263.0793458131112	
27.0	256.0	6912.0	275.081626772897	
28.0	256.0	7168.0	283.45047156962346	
29.0	256.0	7424.0	293.6089314709014	
30.0	256.0	7680.0	303.6903950118672	
31.0	256.0	7936.0	313.5310254128103	
32.0	256.0	8192.0	324.0349834453265	
33.0	256.0	8448.0	333.77348414770756	
34.0	256.0	8704.0	344.51002478134234	
35.0	256.0	8960.0	354.05003232213477	
36.0	256.0	9216.0	364.5883926777615	
37.0	256.0	9472.0	375.0887083985212	
38.0	256.0	9728.0	361.9609673765163	
39.0	256.0	9984.0	371.3480514086181	
40.0	256.0	10240.0	380.9639669406709	
41.0	256.0	10496.0	364.13026140053756	
42.0	256.0	10752.0	348.43660060856047	
43.0	256.0	11008.0	357.40011287067335	
44.0	256.0	11264.0	325.5964825911825	
45.0	256.0	11520.0	315.33052889361903	
46.0	256.0	11776.0	322.16311156278465	
47.0	256.0	12032.0	329.18740908363714	
48.0	256.0	12288.0	319.7152774945264	
49.0	256.0	12544.0	341.3962961349841	
50.0	256.0	12800.0	350.21469139458776	
51.0	256.0	13056.0	337.6878796866974	
52.0	256.0	13312.0	342.9932759552436	
53.0	256.0	13568.0	349.6730707211509	
54.0	256.0	13824.0	355.92609300536105	
55.0	256.0	14080.0	364.2064885893959	
56.0	256.0	14336.0	369.86768286715346	
57.0	256.0	14592.0	376.40344016806165	
58.0	256.0	14848.0	383.60161929191656	
59.0	256.0	15104.0	374.7663493066641	
60.0	256.0	15360.0	380.8236719550749	
61.0	256.0	15616.0	370.12777409855767	
62.0	256.0	15872.0	342.95893398366195	
63.0	256.0	16128.0	334.5433136353779	
64.0	256.0	16384.0	328.39557251060876	
