#block size	threads per block	Total threads	IPC/EU GEN
1.0	1.0	1.0	0.47041984732824427	
1.0	2.0	2.0	0.9408396946564885	
1.0	4.0	4.0	1.881679389312977	
1.0	8.0	8.0	3.763358778625954	
1.0	16.0	16.0	3.763358778625954	
1.0	32.0	32.0	3.763358778625954	
1.0	64.0	64.0	3.763358778625954	
1.0	128.0	128.0	3.763358778625954	
1.0	256.0	256.0	5.01752587107187	
2.0	256.0	512.0	7.538923912103471	
3.0	256.0	768.0	7.52572614551034	
4.0	256.0	1024.0	7.527025751951647	
5.0	256.0	1280.0	7.495020418235232	
6.0	256.0	1536.0	7.502551738660319	
7.0	256.0	1792.0	7.4913042905987925	
8.0	256.0	2048.0	7.417242104482944	
9.0	256.0	2304.0	7.508214169227336	
10.0	256.0	2560.0	7.512057939228626	
11.0	256.0	2816.0	7.507028490057002	
12.0	256.0	3072.0	7.5154378268938755	
13.0	256.0	3328.0	7.507664804078571	
14.0	256.0	3584.0	7.521327276784194	
15.0	256.0	3840.0	7.526831899007239	
16.0	256.0	4096.0	7.524637902980735	
17.0	256.0	4352.0	7.526017710086339	
18.0	256.0	4608.0	7.52428712811574	
19.0	256.0	4864.0	7.529067385625626	
20.0	256.0	5120.0	7.533718456324416	
21.0	256.0	5376.0	7.541108986615678	
22.0	256.0	5632.0	7.532355540626488	
23.0	256.0	5888.0	7.532239754514855	
24.0	256.0	6144.0	7.530242644225178	
25.0	256.0	6400.0	7.523158264248344	
26.0	256.0	6656.0	7.538616293267067	
27.0	256.0	6912.0	7.528636119827808	
28.0	256.0	7168.0	7.534991089747042	
29.0	256.0	7424.0	7.528635520579011	
30.0	256.0	7680.0	7.5314683446141935	
31.0	256.0	7936.0	7.537287508278151	
32.0	256.0	8192.0	7.534259237035762	
64.0	256.0	16384.0	7.538161955149781	
128.0	256.0	32768.0	7.540428431229596	
256.0	256.0	65536.0	7.545347752993005	
512.0	256.0	131072.0	7.544466382884567	
1024.0	256.0	262144.0	7.545418776994694	
2048.0	256.0	524288.0	7.54558213990312	
4096.0	256.0	1048576.0	7.546374815086874	
8192.0	256.0	2097152.0	0.0	
